name	slot_uri	from_schema	required	identifier	description
GOLD sample identifiers		https://microbiomedata/schema/external_identifiers			['identifiers for corresponding sample in GOLD']
INSDC biosample identifiers		https://microbiomedata/schema/external_identifiers			['identifiers for corresponding sample in INSDC']
INSDC secondary sample identifiers		https://microbiomedata/schema/external_identifiers			['secondary identifiers for corresponding sample in INSDC']
add_date		https://microbiomedata/schema			The date on which the information was added to the database.
agrochem_addition		https://microbiomedata/schema/mixs			"""Addition of fertilizers, pesticides, etc. - amount and time of applications"""
al_sat		https://microbiomedata/schema/mixs			Aluminum saturation (esp. For tropical soils)
al_sat_meth		https://microbiomedata/schema/mixs			Reference or method used in determining Al saturation
alkalinity		https://microbiomedata/schema/mixs			"""Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"""
alkalinity_method		https://microbiomedata/schema/mixs			Method used for alkalinity measurement
alkyl_diethers		https://microbiomedata/schema/mixs			Concentration of alkyl diethers 
alt		https://microbiomedata/schema/mixs			"""Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air"""
alternative identifiers		https://microbiomedata/schema/basic_slots			A list of alternative identifiers for the entity.
aminopept_act		https://microbiomedata/schema/mixs			Measurement of aminopeptidase activity
ammonium		https://microbiomedata/schema/mixs			Concentration of ammonium in the sample
annual_precpt		https://microbiomedata/schema/mixs			"""The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. """
annual_temp		https://microbiomedata/schema/mixs			Mean annual temperature
bacteria_carb_prod		https://microbiomedata/schema/mixs			Measurement of bacterial carbon production
bishomohopanol		https://microbiomedata/schema/mixs			Concentration of bishomohopanol 
bromide		https://microbiomedata/schema/mixs			Concentration of bromide 
calcium		https://microbiomedata/schema/mixs			Concentration of calcium in the sample
carb_nitro_ratio		https://microbiomedata/schema/mixs			Ratio of amount or concentrations of carbon to nitrogen
chem_administration		https://microbiomedata/schema/mixs			"""List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"""
chloride		https://microbiomedata/schema/mixs			Concentration of chloride in the sample
chlorophyll		https://microbiomedata/schema/mixs			Concentration of chlorophyll
collection_date		https://microbiomedata/schema/mixs			"""The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant"""
community		https://microbiomedata/schema			
crop_rotation		https://microbiomedata/schema/mixs			"""Whether or not crop is rotated, and if yes, rotation schedule"""
cur_land_use		https://microbiomedata/schema/mixs			Present state of sample site
cur_vegetation		https://microbiomedata/schema/mixs			"""Vegetation classification from one or more standard classification systems, or agricultural crop"""
cur_vegetation_meth		https://microbiomedata/schema/mixs			Reference or method used in vegetation classification 
density		https://microbiomedata/schema/mixs			"""Density of the sample, which is its mass per unit volume (aka volumetric mass density)"""
depth		https://microbiomedata/schema/mixs			Please refer to the definitions of depth in the environmental packages
