Ontology ID	Meaning (LinkML)	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal
ID		SC %																	
GENEPIO:0001122			Database Identifiers																
GENEPIO:0001123		Database Identifiers	specimen collector sample ID	xs:unique		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The user-defined name for the sample.	Store the collector sample ID. If this number is considered identifiable information, provide an alternative ID. Be sure to store the key that maps between the original and alternative IDs for traceability and follow up if necessary. Every collector sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab.	prov_rona_99	Sample ID given by the sample provider	Primary Specimen ID	TEXT_ID	sample_name	specimen collector sample ID
GENEPIO:0001202		Database Identifiers	third party lab service provider name	xs:token								The name of the third party company or laboratory that provided services.	Store the sample identifier supplied by the third party services provider.	Switch Health			HC_TEXT5		
GENEPIO:0001149		Database Identifiers	third party lab sample ID	xs:token								The identifier assigned to a sample by a third party service provider.		SHK123456			PH_ID_NUMBER_PRIMARY		
GENEPIO:0100281		Database Identifiers	case ID	xs:unique			recommended					The identifier used to specify an epidemiologically detected case of disease.	Provide the case identifer. The case ID greatly facilitates linkage between laboratory and epidemiological data. The case ID may be considered identifiable information. Consult the data steward before sharing.	ABCD1234			PH_CASE_ID		
GENEPIO:0001128		Database Identifiers	Related specimen primary ID	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access						The primary ID of a related specimen previously submitted to the repository.	Store the primary ID of the related specimen previously submitted to the National Microbiology Laboratory so that the samples can be linked and tracked through the system.	SR20-12345		Related Specimen ID;Related Specimen Relationship Type	PH_RELATED_PRIMARY_ID		
GENEPIO:0001131		Database Identifiers	IRIDA sample name	xs:token								The identifier assigned to a sequenced isolate in IRIDA.	Store the IRIDA sample name. The IRIDA sample name will be created by the individual entering data into the IRIDA platform. IRIDA samples may be linked to metadata and sequence data, or just metadata alone. It is recommended that the IRIDA sample name be the same as, or contain, the specimen collector sample ID for better traceability. It is also recommended that the IRIDA sample name mirror the GISAID accession. IRIDA sample names cannot contain slashes. Slashes should be replaced by underscores. See IRIDA documentation for more information regarding special characters (https://irida.corefacility.ca/documentation/user/user/samples/#adding-a-new-sample). 	prov_rona_99			IRIDA sample name		
GENEPIO:0001133		Database Identifiers	umbrella bioproject accession	select						UPPER		The INSDC accession number assigned to the umbrella BioProject for the Canadian SARS-CoV-2 sequencing effort.	Store the umbrella BioProject accession by selecting it from the picklist in the template. The umbrella BioProject accession will be identical for all CanCOGen submitters. Different provinces will have their own BioProjects, however these BioProjects will be linked under one umbrella BioProject.	PRJNA623807			umbrella bioproject accession		
GENEPIO:0001136		Database Identifiers	bioproject accession	xs:token						UPPER		The INSDC accession number of the BioProject(s) to which the BioSample belongs.	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project. 	PRJNA608651		BioProject Accession	PH_BIOPROJECT_ACCESSION	bioproject_accession	
GENEPIO:0001139		Database Identifiers	biosample accession	xs:token						UPPER		The identifier assigned to a BioSample in INSDC archives.	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN.	SAMN14180202		BioSample Accession	PH_BIOSAMPLE_ACCESSION		
GENEPIO:0001142		Database Identifiers	SRA accession	xs:token						UPPER		The Sequence Read Archive (SRA) identifier linking raw read data, methodological metadata and quality control metrics submitted to the INSDC.	Store the accession assigned to the submitted "run". NCBI-SRA accessions start with SRR.	SRR11177792		SRA Accession	PH_SRA_ACCESSION		
GENEPIO:0001145		Database Identifiers	GenBank accession	xs:token						UPPER		The GenBank identifier assigned to the sequence in the INSDC archives.	Store the accession returned from a GenBank submission (viral genome assembly).	MN908947.3		GenBank Accession 	GenBank accession		
GENEPIO:0001147		Database Identifiers	GISAID accession	xs:token						UPPER		The GISAID accession number assigned to the sequence.	Store the accession returned from the GISAID submission.	EPI_ISL_436489		GISAID Accession (if known)	SUBMISSIONS - GISAID Accession ID	GISAID_accession	GISAID accession
GENEPIO:0001150			Sample collection and processing																
GENEPIO:0001153		Sample collection and processing	sample collected by	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The name of the agency that collected the original sample.	The name of the sample collector should be written out in full, (with minor exceptions) and be consistent across multple submissions e.g. Public Health Agency of Canada, Public Health Ontario, BC Centre for Disease Control. The sample collector specified is at the discretion of the data provider (i.e. may be hospital, provincial public health lab, or other).	BC Centre for Disease Control	Originating lab	Lab Name	CUSTOMER	collected_by	sample collected by
GENEPIO:0001156		Sample collection and processing	sample collector contact email	xs:token							^\S+@\S+\.\S+$	The email address of the contact responsible for follow-up regarding the sample.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	RespLab@lab.ca			sample collector contact email		
GENEPIO:0001158		Sample collection and processing	sample collector contact address	xs:token								The mailing address of the agency submitting the sample.	The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	655 Lab St, Vancouver, British Columbia, V5N 2A2, Canada	Address		sample collector contact address		
GENEPIO:0001159		Sample collection and processing	sequence submitted by	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required					The name of the agency that generated the sequence.	The name of the agency should be written out in full, (with minor exceptions) and be consistent across multple submissions. If submitting specimens rather than sequencing data, please put the "National Microbiology Laboratory (NML)".	Public Health Ontario (PHO)	Submitting lab	Sequencing Centre	PH_SEQUENCING_CENTRE	sequenced_by	sequence submitted by
GENEPIO:0001165		Sample collection and processing	sequence submitter contact email	xs:token								The email address of the contact responsible for follow-up regarding the sequence.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	RespLab@lab.ca			sequence submitter contact email		
GENEPIO:0001167		Sample collection and processing	sequence submitter contact address	xs:token								The mailing address of the agency submitting the sequence.	The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	123 Sunnybrooke St, Toronto, Ontario, M4P 1L6, Canada	Address		sequence submitter contact address		
