Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
		sample identification											
		required where applicable											
		optional											
		required											
	sample identification	unique_ID	xs:unique			required					Unique ID	Field REQUIRED for ALL sample submission. Options: IGSN- http://www.geosamples.org/getigsn ; UUID- https://www.uuidgenerator.net/	{text}
	sample identification	samp_name	xs:token			required					Sample Name	ID that is present on the shipped sample. Human readable.	{text}
	sample identification	investigation_type	select			required					Analysis/Data Type	This field is constrained to contain only a set of limited terms (listed under Expected value) that indicate the types of data that were generated. Include all the data types, this field can have multiple values separated by a ;	drop down selection list
	sample identification	package	xs:token			required					Sample Type	MIxS Package	{text}
	sample identification	source_mat_id	xs:token			required					Source Material ID	A unique identifier assigned to an original material sample collected or to any derived sub-samples. The source material should be listed as a sample to inform details about parent material relationship.	{text}
	required	growth_facil	select			required					Growth Facility	Type of facility or location form where the sample was harvested	{text}|{termLabel} {[termID]}
	required	collection_date	xs:date			required					Collection Date		{timestamp}
	required	samp_mat_process	xs:token			required					Material Processing		{text}|{termLabel} {[termID]}
	required	store_cond	select			required					Storage Condition	Informs how your sample was stored	drop down selection list
	required	samp_store_temp	select			required					Storage temperature		drop down selection list
	required	samp_size	xs:token			required					Sample size		{value}{text}
	required where applicable	geo_loc_name	xs:token			required					Geographical Location Name		country or sea name; region or state; specific location
	required where applicable	lat_lon	xs:token			required					latitude, longitude		{latitude decimal; longitude decimal}
	required where applicable	elev	xs:decimal			required					elevation-meters		{value}
	required where applicable	chem_administration	xs:token			required					chemical administration/addition treatment		{termLabel} {[termID]}; {timestamp}
	required where applicable	watering_regm	xs:token			required					watering regimen/schedule treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	air_temp_regm	xs:token			required					air temperature regimen treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	gaseous_environment	xs:token			required					gas evironment/exposure treatment		{text};{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	isotope_exposure	xs:token			required					isotope exposure/addition treatment		{text}
	required where applicable	climate_environment	xs:token			required					climate environment treatment		{text};{Rn/start_time/end_time/duration}
	required where applicable	humidity_regm	xs:token			required					humidity regimen/adition treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	light_regm	xs:token			required					light regimen treatment		{text};{float} {unit};{float} {unit}
	required where applicable	biotic_regm	xs:token			required					biotic regimen/addition treatment		{text}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	required where applicable	samp_collect_device	xs:token			required					sample collection device	Report dimensions and details when applicable	{text} dimensions
	required where applicable	alt	xs:decimal			required					altitude-meters		{value}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	optional	alkalinity	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	alkalinity		{float} {unit}
	optional	alkalinity_method	xs:token								alkalinity method		{text}
	optional	biochem_oxygen_dem	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	biochemical oxygen demand		{float} {unit}
	required where applicable	chem_administration	xs:token			required					chemical administration/addition treatment		{termLabel} {[termID]}; {timestamp}
	optional	chem_oxygen_dem	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	chemical oxygen demand		{float} {unit}
	optional	efficiency_percent	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	efficiency percent		{float} {unit}
	optional	emulsions	xs:token								emulsions		emulsion name {text}; measurement value {float} {unit}
	optional	gaseous_substances	xs:token								gaseous substances		 gaseous substance name {text}; measurement value {float} {unit}
	optional	indust_eff_percent	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	industrial effluent percent		{float} {unit}
	optional	inorg_particles	xs:token								inorganic particles		inorganic particle name {text}; measurement value {value} {unit}
	required where applicable	isol_growth_condt	xs:token			required					Isolation and growth conditions		{DOI} or {URL} or {text}
	optional	misc_param	xs:token								miscellaneous parameter		parameter name {text}; measurement value {float} {unit}
	optional	nitrate	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	nitrate		{float} {unit}
	optional	org_particles	xs:token								organic particles		particle name {text}; measurement value {float} {unit}
	optional	organism_count	xs:token								organism count		organism name {text}; measurement value {value} {unit}; enumeration [qPCR|ATP|MPN|other]
	optional	oxy_stat_samp	select								oxygenation status of sample		enumeration
