label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
NMDC slots												
id	NMDC slots	xs:token	required	A unique identifier for a thing. Must be either a CURIE shorthand for a URI or a complete URI								
identifier	NMDC slots	xs:token	required	 								
name	NMDC slots	xs:token	required	A human readable label for an entity								
ncbi_taxonomy_name	NMDC slots	xs:token	required	 								
env_package	NMDC slots	xs:token	required	MIxS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported	soil	Expected value: enumeration. Position: 13.0						
samp_mat_process	NMDC slots	xs:token	required	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	filtering of seawater, storing samples in ethanol	Expected value: text. Position: 32.0						
ecosystem	NMDC slots	xs:token	required	TODO								
ecosystem_category	NMDC slots	xs:token	required	TODO								
ecosystem_type	NMDC slots	xs:token	required	TODO								
ecosystem_subtype	NMDC slots	xs:token	required	TODO								
specific_ecosystem	NMDC slots	xs:token	required	TODO								
Study IDs	NMDC slots	xs:token	recommended	|-seperated list of NMDC study identifiers								
environment field												
core field												
abs_air_humidity	core field	xs:token		Actual mass of water vapor - mh20 - present in the air water vapor mixture	9 gram per gram	Expected value: measurement value. Preferred unit: gram per gram, kilogram per kilogram, kilogram, pound. Occurrence: 1. Position: 4.0. This field is used uniquely in: built environment	MIXS:0000122					
address	core field	xs:token		The street name and building number where the sampling occurred.		Expected value: value. Occurrence: 1. Position: 27.0. This field is used uniquely in: built environment	MIXS:0000218					
adj_room	core field	xs:token		List of rooms (room number, room name) immediately adjacent to the sampling room		Expected value: room name;room number. Occurrence: 1. Position: 28.0. This field is used uniquely in: built environment	MIXS:0000219					
aero_struc	core field	xs:token		Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together	plane	Expected value: enumeration. Occurrence: 1. Position: 29.0. This field is used uniquely in: built environment	MIXS:0000773					
air_temp	core field	xs:token		Temperature of the air at the time of sampling	20 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 6.0. This field is used uniquely in: built environment	MIXS:0000124					
alt	environment field	xs:token		Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	100 meter	Expected value: measurement value. This field is used in: 3 packages: air, host-associated, miscellaneous natural or artificial environment	MIXS:0000094					
amount_light	core field	xs:token		The unit of illuminance and luminous emittance, measuring luminous flux per unit area		Expected value: measurement value. Preferred unit: lux, lumens per square meter. Occurrence: 1. Position: 30.0. This field is used uniquely in: built environment	MIXS:0000140					
arch_struc	core field	select		An architectural structure is a human-made, free-standing, immobile outdoor construction	shed	Expected value: enumeration. Occurrence: 1. Position: 31.0. This field is used uniquely in: built environment	MIXS:0000774					
avg_dew_point	core field	xs:token		The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day	25.5 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 33.0. This field is used uniquely in: built environment	MIXS:0000141					
avg_occup	core field	xs:decimal		Daily average occupancy of room. Indicate the number of person(s) daily occupying the sampling room.	2	Expected value: value. Occurrence: 1. Position: 32.0. This field is used uniquely in: built environment	MIXS:0000775					
avg_temp	core field	xs:token		The average of temperatures taken at the beginning of every hour over a 24 hour period on the sampling day	12.5 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 34.0. This field is used uniquely in: built environment	MIXS:0000142					
bathroom_count	core field	xs:token		The number of bathrooms in the building	1	Expected value: value. Occurrence: 1. Position: 35.0. This field is used uniquely in: built environment	MIXS:0000776					
bedroom_count	core field	xs:token		The number of bedrooms in the building	2	Expected value: value. Occurrence: 1. Position: 36.0. This field is used uniquely in: built environment	MIXS:0000777					
build_docs	core field	select		The building design, construction and operation documents	maintenance plans	Expected value: enumeration. Occurrence: 1. Position: 50.0. This field is used uniquely in: built environment	MIXS:0000787					
build_occup_type	core field	select		The primary function for which a building or discrete part of a building is intended to be used	market	Expected value: enumeration. Occurrence: m. Position: 9.0. This field is used uniquely in: built environment	MIXS:0000761					
building_setting	core field	select		A location (geography) where a building is set	rural	Expected value: enumeration. Occurrence: 1. Position: 20.0. This field is used uniquely in: built environment	MIXS:0000768					
built_struc_age	core field	xs:token		The age of the built structure since construction	15	Expected value: value. Preferred unit: year. Occurrence: 1. Position: 37.0. This field is used uniquely in: built environment	MIXS:0000145					
built_struc_set	core field	xs:token		The characterization of the location of the built structure as high or low human density	rural	Expected value: enumeration. Occurrence: 1. Position: 38.0. This field is used uniquely in: built environment	MIXS:0000778					
built_struc_type	core field	xs:token		A physical structure that is a body or assemblage of bodies in space to form a system capable of supporting loads		Expected value: free text. Occurrence: 1. Position: 39.0. This field is used uniquely in: built environment	MIXS:0000721					
carb_dioxide	core field	xs:token		Carbon dioxide (gas) amount or concentration at the time of sampling	410 parts per million	Expected value: measurement value. Preferred unit: micromole per liter, parts per million. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: air, built environment	MIXS:0000097					
ceil_area	core field	xs:token		The area of the ceiling space within the room	25 square meter	Expected value: measurement value. Preferred unit: square meter. Occurrence: 1. Position: 40.0. This field is used uniquely in: built environment	MIXS:0000148					
ceil_cond	core field	select		The physical condition of the ceiling at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas	damaged	Expected value: enumeration. Occurrence: 1. Position: 41.0. This field is used uniquely in: built environment	MIXS:0000779					
ceil_finish_mat	core field	select		The type of material used to finish a ceiling	stucco	Expected value: enumeration. Occurrence: 1. Position: 42.0. This field is used uniquely in: built environment	MIXS:0000780					
ceil_struc	core field	xs:token		The construction format of the ceiling	concrete	Expected value: enumeration. Occurrence: 1. Position: 44.0. This field is used uniquely in: built environment	MIXS:0000782					
ceil_texture	core field	select		The feel, appearance, or consistency of a ceiling surface	popcorn	Expected value: enumeration. Occurrence: 1. Position: 45.0. This field is used uniquely in: built environment	MIXS:0000783					
