label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
NMDC slots												
id	NMDC slots	xs:token	required	A unique identifier for a thing. Must be either a CURIE shorthand for a URI or a complete URI								
identifier	NMDC slots	xs:token	required	 								
name	NMDC slots	xs:token	required	A human readable label for an entity								
ncbi_taxonomy_name	NMDC slots	xs:token	required	 								
env_package	NMDC slots	xs:token	required	MIxS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported	soil	Expected value: enumeration. Position: 13.0						
samp_mat_process	NMDC slots	xs:token	required	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	filtering of seawater, storing samples in ethanol	Expected value: text. Position: 32.0						
ecosystem	NMDC slots	xs:token	required	TODO								
ecosystem_category	NMDC slots	xs:token	required	TODO								
ecosystem_type	NMDC slots	xs:token	required	TODO								
ecosystem_subtype	NMDC slots	xs:token	required	TODO								
specific_ecosystem	NMDC slots	xs:token	required	TODO								
Study IDs	NMDC slots	xs:token	recommended	|-seperated list of NMDC study identifiers								
environment field												
core field												
alkalinity	core field	xs:token		Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	50 milligram per liter	Expected value: measurement value. Preferred unit: milliequivalent per liter, milligram per liter. Occurrence: 1. Position: 56.0. This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	MIXS:0000421					
alkyl_diethers	core field	xs:token		Concentration of alkyl diethers	0.005 mole per liter	Expected value: measurement value. Preferred unit: mole per liter. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000490					
alt	environment field	xs:token		Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	100 meter	Expected value: measurement value. This field is used in: 3 packages: air, host-associated, miscellaneous natural or artificial environment	MIXS:0000094					
aminopept_act	core field	xs:token		Measurement of aminopeptidase activity	0.269 mole per liter per hour	Expected value: measurement value. Preferred unit: mole per liter per hour. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000172					
ammonium	core field	xs:token		Concentration of ammonium in the sample	1.5 milligram per liter	Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 63.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000427					
bacteria_carb_prod	core field	xs:token		Measurement of bacterial carbon production	2.53 microgram per liter per hour	Expected value: measurement value. Preferred unit: nanogram per hour. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000173					
biomass	core field	xs:token		Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements	total;20 gram	Expected value: biomass type;measurement value. Preferred unit: ton, kilogram, gram. Occurrence: m. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000174					
bishomohopanol	core field	xs:token		Concentration of bishomohopanol	14 microgram per liter	Expected value: measurement value. Preferred unit: microgram per liter, microgram per gram. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000175					
bromide	core field	xs:token		Concentration of bromide	0.05 parts per million	Expected value: measurement value. Preferred unit: parts per million. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000176					
calcium	core field	xs:token		Concentration of calcium in the sample	0.2 micromole per liter	Expected value: measurement value. Preferred unit: milligram per liter, micromole per liter, parts per million. Occurrence: 1. Position: 70.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000432					
carb_nitro_ratio	core field	xs:token		Ratio of amount or concentrations of carbon to nitrogen	0.417361111	Expected value: measurement value. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000310					
chem_administration	core field	xs:token		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	agar [CHEBI:2509];2018-05-11T20:00Z	Expected value: CHEBI;timestamp. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000751					
chloride	core field	xs:token		Concentration of chloride in the sample	5000 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter, parts per million. Occurrence: 1. Position: 67.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000429					
chlorophyll	core field	xs:token		Concentration of chlorophyll	5 milligram per cubic meter	Expected value: measurement value. Preferred unit: milligram per cubic meter, microgram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000177					
collection_date	environment field	xs:date	required	The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	2018-05-11T10:00:00+01:00; 2018-05-11	Expected value: date and time. Position: 9.0	MIXS:0000011					
