term	tab
agrochem_addition	terms
air_temp_regm	terms
al_sat	terms
al_sat_meth	terms
alt	terms
annual_precpt	terms
annual_temp	terms
biotic_regm	terms
carb_nitro_ratio	terms
chem_administration	terms
climate_environment	terms
crop_rotation	terms
cur_land_use	terms
cur_vegetation	terms
cur_vegetation_meth	terms
depth	terms
drainage_class	terms
elev	terms
env_broad_scale	terms
env_local_scale	terms
env_medium	terms
experimental_factor	terms
extreme_event	terms
fao_class	terms
fire	terms
flooding	terms
gaseous_environment	terms
geo_loc_name	terms
heavy_metals	terms
heavy_metals_meth	terms
horizon_meth	terms
humidity_regm	terms
lat_lon	terms
light_regm	terms
link_class_info	terms
link_climate_info	terms
local_class	terms
local_class_meth	terms
micro_biomass_meth	terms
microbial_biomass	terms
misc_param	terms
org_matter	terms
org_nitro	terms
oxy_stat_samp	terms
ph	terms
ph_meth	terms
phosphate	terms
prev_land_use_meth	terms
previous_land_use	terms
profile_position	terms
salinity	terms
salinity_meth	terms
samp_store_temp	terms
season_precpt	terms
season_temp	terms
sieving	terms
size_frac_low	terms
size_frac_up	terms
slope_aspect	terms
slope_gradient	terms
soil_horizon	terms
soil_text_measure	terms
soil_texture_meth	terms
soil_type	terms
soil_type_meth	terms
temp	terms
tillage	terms
tot_carb	terms
tot_nitro_cont_meth	terms
tot_nitro_content	terms
tot_org_c_meth	terms
tot_org_carb	terms
tot_phosp	terms
water_cont_soil_meth	terms
water_content	terms
watering_regm	terms
agrochem_addition	exact
al_sat	exact
al_sat_meth	exact
alt	exact
annual_precpt	exact
annual_temp	exact
crop_rotation	exact
cur_land_use	exact
cur_vegetation	exact
cur_vegetation_meth	exact
drainage_class	exact
elev	exact
env_broad_scale	exact
env_local_scale	exact
env_medium	exact
experimental_factor	exact
extreme_event	exact
fao_class	exact
fire	exact
flooding	exact
geo_loc_name	exact
heavy_metals	exact
heavy_metals_meth	exact
horizon_meth	exact
lat_lon	exact
link_class_info	exact
link_climate_info	exact
local_class	exact
local_class_meth	exact
micro_biomass_meth	exact
microbial_biomass	exact
misc_param	exact
org_matter	exact
ph	exact
ph_meth	exact
prev_land_use_meth	exact
previous_land_use	exact
profile_position	exact
salinity_meth	exact
season_precpt	exact
season_temp	exact
sieving	exact
slope_aspect	exact
slope_gradient	exact
soil_text_measure	exact
soil_texture_meth	exact
soil_type	exact
soil_type_meth	exact
source_mat_id	exact
tillage	exact
tot_nitro_cont_meth	exact
tot_nitro_content	exact
tot_org_c_meth	exact
tot_org_carb	exact
water_cont_soil_meth	exact
water_content	exact
air_temp_regm	new
biotic_regm	new
carb_nitro_ratio	new
chem_administration	new
climate_environment	new
depth	new
gaseous_environment	new
humidity_regm	new
light_regm	new
org_nitro	new
oxy_stat_samp	new
phosphate	new
salinity	new
samp_store_temp	new
size_frac_low	new
size_frac_up	new
soil_horizon	new
temp	new
tot_carb	new
tot_phosp	new
watering_regm	new
biomass	replaced
biotic_relationship	replaced
collection_date	replaced
growth_facil	replaced
investigation_type	replaced
project_name	replaced
rel_to_oxygen	replaced
samp_collec_device	replaced
samp_collec_method	replaced
samp_mat_process	replaced
samp_name	replaced
samp_size	replaced
store_cond	replaced
16s_recover	skipped
16s_recover_software	skipped
adapters	skipped
annot	skipped
assembly_name	skipped
assembly_qual	skipped
assembly_software	skipped
associated resource	skipped
bacteria_carb_prod	skipped
bin_param	skipped
bin_software	skipped
chimera_check	skipped
compl_appr	skipped
compl_score	skipped
compl_software	skipped
contam_score	skipped
contam_screen_input	skipped
contam_screen_param	skipped
decontam_software	skipped
detec_type	skipped
encoded_traits	skipped
estimated_size	skipped
extrachrom_elements	skipped
extreme_salinity	skipped
feat_pred	skipped
host_disease_stat	skipped
host_pred_appr	skipped
host_pred_est_acc	skipped
host_spec_range	skipped
isol_growth_condt	skipped
lib_layout	skipped
lib_reads_seqd	skipped
lib_screen	skipped
lib_size	skipped
lib_vector	skipped
link_addit_analys	skipped
mag_cov_software	skipped
mid	skipped
neg_cont_type	skipped
nucl_acid_amp	skipped
nucl_acid_ext	skipped
num_replicons	skipped
number_contig	skipped
org_carb	skipped
otu_class_appr	skipped
otu_db	skipped
otu_seq_comp_appr	skipped
pathogenicity	skipped
pcr_cond	skipped
pcr_primers	skipped
ploidy	skipped
pool_dna_extracts	skipped
pos_cont_type	skipped
pred_genome_struc	skipped
pred_genome_type	skipped
propagation	skipped
reassembly_bin	skipped
ref_biomaterial	skipped
ref_db	skipped
samp_taxon_id	skipped
samp_vol_we_dna_ext	skipped
seq_meth	skipped
seq_quality_check	skipped
sim_search_meth	skipped
single_cell_lysis_appr	skipped
single_cell_lysis_prot	skipped
size_frac	skipped
sop	skipped
sort_tech	skipped
source_uvig	skipped
specific_host	skipped
subspecf_gen_lin	skipped
target_gene	skipped
target_subfragment	skipped
tax_class	skipped
tax_ident	skipped
trna_ext_software	skipped
trnas	skipped
trophic_level	skipped
vir_ident_software	skipped
virus_enrich_appr	skipped
wga_amp_appr	skipped
wga_amp_kit	skipped
