class_name	slot_group	slot_uri	title	name	range	range_2	identifier	required	recommended	multivalued	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples
GISAID	GISAID Submission Form		Submitter		WhitespaceMinimizedString			TRUE							enter your GISAID-Username		
	GISAID Submission Form		FASTA filename		WhitespaceMinimizedString			TRUE							the filename that contains the sequence without path (e.g. all_sequences.fasta not c:\users\meier\docs\all_sequences.fasta)		
	GISAID Submission Form		Virus name		WhitespaceMinimizedString			TRUE							e.g. hCoV-19/Netherlands/Gelderland-01/2020 (Must be FASTA-Header from the FASTA file all_sequences.fasta)		
	GISAID Submission Form		Type		Type menu			TRUE							default must remain "betacoronavirus"		
	GISAID Submission Form		Passage details/history		WhitespaceMinimizedString			TRUE							e.g. Original, Vero		
	GISAID Submission Form		Collection date		WhitespaceMinimizedString			TRUE							Date in the format YYYY or YYYY-MM or YYYY-MM-DD		
	GISAID Submission Form		Location		WhitespaceMinimizedString			TRUE							e.g. Europe / Germany / Bavaria / Munich		
	GISAID Submission Form		Additional location information		WhitespaceMinimizedString										e.g. Cruise Ship, Convention, Live animal market		
	GISAID Submission Form		Host		WhitespaceMinimizedString			TRUE							e.g. Human, Environment, Canine, Manis javanica, Rhinolophus affinis, etc		
	GISAID Submission Form		Additional host information		WhitespaceMinimizedString										e.g. Patient infected while traveling in ….		
	GISAID Submission Form		Sampling Strategy		WhitespaceMinimizedString										e.g. Sentinel surveillance (ILI), Sentinel surveillance (ARI), Sentinel surveillance (SARI), Non-sentinel-surveillance (hospital), Non-sentinel-surveillance (GP network), Longitudinal sampling on same patient(s), S gene dropout		
	GISAID Submission Form		Gender		WhitespaceMinimizedString			TRUE							Male, Female, or unknown		
	GISAID Submission Form		Patient age		WhitespaceMinimizedString			TRUE							e.g.  65 or 7 months, or unknown		
	GISAID Submission Form		Patient status		WhitespaceMinimizedString			TRUE							e.g.  Hospitalized, Released, Live, Deceased, or unknown		
	GISAID Submission Form		Specimen source		WhitespaceMinimizedString										e.g. Sputum, Alveolar lavage fluid, Oro-pharyngeal swab, Blood, Tracheal swab, Urine, Stool, Cloakal swab, Organ, Feces, Other		
	GISAID Submission Form		Outbreak		WhitespaceMinimizedString										Date, Location e.g. type of gathering, Family cluster, etc.		
	GISAID Submission Form		Last vaccinated		WhitespaceMinimizedString										provide details if applicable		
	GISAID Submission Form		Treatment		WhitespaceMinimizedString										Include drug name, dosage		
	GISAID Submission Form		Sequencing technology		WhitespaceMinimizedString			TRUE							e.g.  Illumina Miseq, Sanger, Nanopore MinION, Ion Torrent, etc.		
	GISAID Submission Form		Assembly method		WhitespaceMinimizedString										e.g. CLC Genomics Workbench 12, Geneious 10.2.4, SPAdes/MEGAHIT v1.2.9, UGENE v. 33, etc.		
	GISAID Submission Form		Coverage		WhitespaceMinimizedString										e.g. 70x, 1,000x, 10,000x (average)		
	GISAID Submission Form		Originating lab		WhitespaceMinimizedString			TRUE							Where the clinical specimen or virus isolate was first obtained		
	GISAID Submission Form		Address		WhitespaceMinimizedString			TRUE									
	GISAID Submission Form		Sample ID given by the sample provider		WhitespaceMinimizedString												
	GISAID Submission Form		Submitting lab		WhitespaceMinimizedString			TRUE							Where sequence data have been generated and submitted to GISAID		
	GISAID Submission Form		Address		WhitespaceMinimizedString			TRUE									
	GISAID Submission Form		Sample ID given by the submitting laboratory		WhitespaceMinimizedString												
	GISAID Submission Form		Authors		WhitespaceMinimizedString										a comma separated list of Authors with complete First followed by Last Name		
																	
																	
																	
