class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	string_serialization	description	comments	examples
GRDI		GENEPIO:0001268	Sample collection and processing						TRUE								
	Sample collection and processing	GENEPIO:0001123	sample_collector_sample_ID		xsd:token					TRUE					The user-defined name for the sample.	The sample_ID should represent the identifier assigned to the sample at time of collection, for which all the descriptive information applies. If the original sample_ID is unknown or cannot be provided, leave blank or provide a null value.	ABCD123
	Sample collection and processing		alternative_sample_ID		xsd:token										An alternative sample_ID assigned to the sample by another organization.	Provide any alternative identifiers for the sample here, separated by commas. Alternative identifiers assigned to the sample should be tracked along with original IDs to establish chain of custody. If the information is unknown or cannot be provided, leave blank or provide a null value.	bvn5567, RA1-HH789
	Sample collection and processing	GENEPIO:0001153	sample_collected_by		xsd:token										The name of the agency, organization or institution with which the sample collector is affiliated.	Provide the name of the agency, organization or institution that collected the sample in full (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Public Health Agency of Canada
	Sample collection and processing		collected_by_laboratory_name		xsd:token										The specific laboratory affiliation of the sample collector.	Provide the name of the specific laboratory that collected the sample (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Topp Lab
	Sample collection and processing		sample_collection_project_name		xsd:token					TRUE					The name of the project/initiative/program for which the sample was collected.	Provide the name of the project and/or the project ID here. If the information is unknown or cannot be provided, leave blank or provide a null value.	Watershed Project (HA-120)
	Sample collection and processing		sample_plan_name		xsd:token					TRUE					The name of the study design for a surveillance project.	Provide the name of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.	National Microbiological Baseline Study in Broiler Chicken
	Sample collection and processing		sample_plan_ID		xsd:token										The identifier of the study design for a surveillance project.	Provide the identifier of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.	2001_M205
	Sample collection and processing		sample_collector_contact_name		xsd:token				TRUE						The name or job title of the contact responsible for follow-up regarding the sample.	Provide the name of an individual or their job title. As personnel turnover may render the contact's name obsolete, it is more preferable to provide a job title for ensuring accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	Enterics Lab Manager
	Sample collection and processing		sample_collector_contact_email		xsd:token				TRUE						The email address of the contact responsible for follow-up regarding the sample.	Provide the email associated with the listed contact. As personnel turnover may render an individual's email obsolete, it is more preferable to provide an address for a position or lab, to ensure accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	johnnyblogs@lab.ca
