Ontology ID	label	parent class	description	guidance	datatype	pattern	requirement	examples	source	capitalize	data status	max value	min value	EXPORT_soil_emsl_jgi_mg	section	order	title	column_number
	Sample ID														Sample ID	1.0	Sample ID	
	NMDC fields esp. GOLD paths														NMDC fields esp. GOLD paths	2.0	NMDC fields esp. GOLD paths	
	EMSL														EMSL	3.0	EMSL	
	JGI-Metagenomics														JGI-Metagenomics	4.0	JGI-Metagenomics	
	Metadata- MIxS Modified Required														Metadata- MIxS Modified Required	6.0	Metadata- MIxS Modified Required	
	Metadata- MIxS Required														Metadata- MIxS Required	7.0	Metadata- MIxS Required	
	Metadata- MIxS Modified Required Where Applicable														Metadata- MIxS Modified Required Where Applicable	8.0	Metadata- MIxS Modified Required Where Applicable	
	Metadata- MIxS Required Where Applicable														Metadata- MIxS Required Where Applicable	9.0	Metadata- MIxS Required Where Applicable	
	Metadata- MIxS Modified Optional														Metadata- MIxS Modified Optional	10.0	Metadata- MIxS Modified Optional	
	Metadata- MIxS Optional														Metadata- MIxS Optional	11.0	Metadata- MIxS Optional	
emsl:project_ID	Project ID	EMSL	Proposal IDs or names associated with dataset	Pattern hint: {text}	xs:token		required							project_ID				1.0
emsl:sample_type	sample type	EMSL	Type of sample being submitted	This can vary from 'environmental package' if the sample is an extraction. | Pattern hint: enumeration	select		required	water extracted soil						sample_type				2.0
emsl:sample_shipped	sample shipped amount	EMSL	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample sent to EMSL	Pattern hint: {float} {unit}	xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$	required							sample_shipped				3.0
emsl:EMSL_store_temp	EMSL Sample Storage Temperature, deg. C	EMSL	Temperature at which the sample sent to EMSL should be stored	Enter a temperature in celsius. Numeric portion only. | Pattern hint: {float}	xs:decimal		required	-80						EMSL_store_temp				4.0
emsl:technical_reps	Number Technical Replicate	EMSL	If sending multiple technical replicates of the same sample, indicate how many replicates are being sent	Pattern hint: {integer}	xs:nonNegativeInteger		recommended							technical_reps				5.0
emsl:replicate_number	Replicate Number	EMSL	If sending biological replicates, indicate the rep number here.	This will guide staff in ensuring your samples are block & randomized correctly | Pattern hint: {integer}	xs:nonNegativeInteger		recommended							replicate_number				6.0
jgi_gen:dna_seq_project	DNA Seq Project ID	JGI-Metagenomics		Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled. | Pattern hint: {text}	xs:token		required	1191234						dna_seq_project				1.0
jgi_gen:dna_seq_project_name	DNA Seq Project Name	JGI-Metagenomics		Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled. | Pattern hint: {text}	xs:token		required	JGI Pond metagenomics						dna_seq_project_name				2.0
jgi_gen:dna_samp_ID	DNA Sample ID	JGI-Metagenomics		Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled. | Pattern hint: {text}	xs:token		required	187654						dna_samp_ID				3.0
jgi_gen:dna_sample_name	DNA Sample Name	JGI-Metagenomics	Give the DNA sample a name that is meaningful to you. Sample names must be unique across all JGI projects and contain a-z, A-Z, 0-9, - and _ only.	Pattern hint: {text}	xs:token		required	JGI_pond_041618						dna_sample_name				4.0
jgi_gen:dna_concentration	DNA Concentration in ng/uL	JGI-Metagenomics		Units must be in ng/uL. Enter the numerical part only. Must be calculated using a fluorometric method. Acceptable values are 0-2000. | Pattern hint: {float}	xs:decimal		required	100				2000.0	0.0	dna_concentration				5.0
jgi_gen:dna_volume	DNA Volume in uL	JGI-Metagenomics		Units must be in uL. Enter the numerical part only. Value must 0-1000. Values <25 by special permission only. | Pattern hint: {float}	xs:decimal		required	25				1000.0	0.0	dna_volume				6.0
jgi_gen:dna_absorb1	DNA Absorbance 260/280	JGI-Metagenomics	260/280 measurement of DNA sample purity	Recommended value is between 1 and 3. | Pattern hint: {float}	xs:decimal		required	2.02						dna_absorb1				7.0
jgi_gen:dna_absorb2	DNA Absorbance 260/230	JGI-Metagenomics	260/230 measurement of DNA sample purity	Recommended value is between 1 and 3. | Pattern hint: {float}	xs:decimal		recommended	2.02						dna_absorb2				8.0
jgi_gen:dna_container_ID	DNA Container Label	JGI-Metagenomics		Must be unique across all tubes and plates, and <20 characters. All samples in a plate should have the same plate label. | Pattern hint: {text < 20 characters}	xs:token	^.{1,20}$	required	Pond_MT_041618						dna_container_ID				9.0
jgi_gen:dna_cont_type	DNA Container Type	JGI-Metagenomics	Tube or plate (96-well)	Pattern hint: enumeration	select		required	plate						dna_cont_type				10.0
jgi_gen:dna_cont_well	DNA Well Number	JGI-Metagenomics		Required when 'plate' is selected for container type. Corner wells must be blank. For partial plates, fill by columns. Leave blank if the sample will be shipped in a tube. | Pattern hint: {96 well plate pos}	xs:token	^[A-H](0?[1-9]$)|(^1[0-2])$	required	B2						dna_cont_well				11.0
jgi_gen:dna_sample_format	DNA Sample Format	JGI-Metagenomics	Solution in which the DNA sample has been suspended	Pattern hint: enumeration	select		required	Water						dna_sample_format				12.0
jgi_gen:dna_dnase	DNAse Treatment DNA	JGI-Metagenomics		Note DNAse treatment is required for all RNA samples. | Pattern hint: enumeration	select		required	no						dna_dnase				13.0
jgi_gen:dna_organisms	DNA Expected Organisms	JGI-Metagenomics	List any organisms known or suspected to grow in co-culture, as well as estimated % of the organism in that culture.	Pattern hint: {text}	xs:token		recommended	expected to contain microbes (59%) fungi (30%), viruses (10%), tadpoles (1%)						dna_organisms				14.0
jgi_gen:dna_collect_site	DNA Collection Site	JGI-Metagenomics	Provide information on the site your DNA sample was collected from	Pattern hint: {text}	xs:token		required	untreated pond water						dna_collect_site				15.0
jgi_gen:dna_isolate_meth	DNA Isolation Method	JGI-Metagenomics	Describe the method/protocol/kit used to extract DNA/RNA.	Pattern hint: {text}	xs:token		required	phenol/chloroform extraction						dna_isolate_meth				16.0
jgi_gen:dna_seq_project_PI	DNA Seq Project PI	JGI-Metagenomics		Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled. | Pattern hint: {text}	xs:token		required	Jane Johnson						dna_seq_project_PI				17.0
jgi_gen:dna_project_contact	DNA Seq Project Contact	JGI-Metagenomics		Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled. | Pattern hint: {text}	xs:token		required	John Jones						dna_project_contact				18.0
jgi_gen:proposal_dna	DNA Proposal ID	JGI-Metagenomics		Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled. | Pattern hint: {text}	xs:token		required	504000						proposal_dna				19.0
mixs_modified:samp_biotic_relationship	observed biotic relationship	Metadata- MIxS Modified Optional	Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object	Pattern hint: enumeration	select									samp_biotic_relationship				16.0
mixs_modified:oxygen_relationship	relationship to oxygen	Metadata- MIxS Modified Optional	Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments	Pattern hint: enumeration	select									oxygen_relationship				17.0
mixs_modified:non_microb_biomass	non-microbial biomass	Metadata- MIxS Modified Optional	Amount of biomass; should include the name for the part of biomass measured, e.g.insect, plant, total. Can include multiple measurements separated by ;	Pattern hint: {text};{float} {unit}	xs:token	^\S*;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								non_microb_biomass				18.0
mixs_modified:non_microb_biomass_method	non-microbial biomass method	Metadata- MIxS Modified Optional	Reference or method used in determining biomass	"required if ""non-microbial biomass"" is provided | Pattern hint: {PMID}|{DOI}|{URL}"	xs:token									non_microb_biomass_method				19.0
mixs_modified:microbial_biomass_C	microbial biomass carbon	Metadata- MIxS Modified Optional	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	Pattern hint: {float} {unit}	xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								microbial_biomass_C				20.0
mixs_modified:micro_biomass_C_meth	microbial biomass carbon method	Metadata- MIxS Modified Optional	Reference or method used in determining microbial biomass	"required if ""microbial_biomass_C"" is provided | Pattern hint: {PMID}|{DOI}|{URL}"	xs:token									micro_biomass_C_meth				21.0
mixs_modified:microbial_biomass_N	microbial biomass nitrogen	Metadata- MIxS Modified Optional	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	Pattern hint: {float} {unit}	xs:token	^[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+$								microbial_biomass_N				22.0
mixs_modified:micro_biomass_N_meth	microbial biomass nitrogen method	Metadata- MIxS Modified Optional	Reference or method used in determining microbial biomass nitrogen	"required if ""microbial_biomass_N"" is provided | Pattern hint: {PMID}|{DOI}|{URL}"	xs:token									micro_biomass_N_meth				23.0
mixs_modified:org_nitro_method	organic nitrogen method	Metadata- MIxS Modified Optional	Method used for obtaining organic nitrogen	"required if ""org_nitro"" is provided | Pattern hint: {PMID}|{DOI}|{URL}"	xs:token									org_nitro_method				24.0
mixs_modified:growth_facility	growth facility	Metadata- MIxS Modified Required	Type of facility/location where the sample was harvested; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field.	Pattern hint: enumeration	select		required							growth_facility				1.0
mixs_modified:storage_condt	storage conditions	Metadata- MIxS Modified Required	Explain how the soil sample is stored (fresh/frozen/other).	Pattern hint: enumeration	select		required							storage_condt				2.0
mixs_modified:collection_date	Collection Date	Metadata- MIxS Modified Required	The date of sampling	Date should be formatted as YYYY(-MM(-DD)) | Pattern hint: {date, arbitrary precision}	xs:token	^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$	required	2021-04-15, 2021-04 and 2021 are all acceptable.						collection_date				3.0
mixs_modified:collection_time	collection time, GMT	Metadata- MIxS Modified Required Where Applicable	The time of sampling, either as an instance (single point) or interval.	Time should be entered as HH:MM(:SS) in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter | Pattern hint: {time, seconds optional}	xs:token	^([01]?\d|2[0-3]|24(?=:00?:00?$)):([0-5]\d)(:([0-5]\d))?$	recommended	13:33 or 13:33:55						collection_time				4.0
