Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
		sample identification											
		required where applicable											
		optional											
		required											
	sample identification	unique_ID	xs:unique			required					Unique ID	Field REQUIRED for ALL sample submission. Options: IGSN- http://www.geosamples.org/getigsn ; UUID- https://www.uuidgenerator.net/	{text}
	sample identification	samp_name	xs:token			required					Sample Name	ID that is present on the shipped sample. Human readable.	{text}
	sample identification	investigation_type	select			required					Analysis/Data Type	This field is constrained to contain only a set of limited terms (listed under Expected value) that indicate the types of data that were generated. Include all the data types, this field can have multiple values separated by a ;	drop down selection list
	sample identification	package	xs:token			required					Sample Type	MIxS Package	{text}
	sample identification	source_mat_id	xs:token			required					Source Material ID	A unique identifier assigned to an original material sample collected or to any derived sub-samples. The source material should be listed as a sample to inform details about parent material relationship.	{text}
	required	growth_facil	select			required					Growth Facility	Type of facility or location form where the sample was harvested	{text}|{termLabel} {[termID]}
	required	collection_date	xs:date			required					Collection Date		{timestamp}
	required	samp_mat_process	xs:token			required					Material Processing		{text}|{termLabel} {[termID]}
	required	store_cond	select			required					Storage Condition	Informs how your sample was stored	drop down selection list
	required	samp_store_temp	select			required					Storage temperature		drop down selection list
	required	samp_size	xs:token			required					Sample size		{value}{text}
	required where applicable	geo_loc_name	xs:token			required					Geographical Location Name		country or sea name; region or state; specific location
	required where applicable	lat_lon	xs:token			required					latitude, longitude		{latitude decimal; longitude decimal}
	required where applicable	elev	xs:decimal			required					elevation-meters		{value}
	required where applicable	chem_administration	xs:token			required					chemical administration/addition treatment		{termLabel} {[termID]}; {timestamp}
	required where applicable	watering_regm	xs:token			required					watering regimen/schedule treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	air_temp_regm	xs:token			required					air temperature regimen treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	gaseous_environment	xs:token			required					gas evironment/exposure treatment		{text};{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	isotope_exposure	xs:token			required					isotope exposure/addition treatment		{text}
	required where applicable	climate_environment	xs:token			required					climate environment treatment		{text};{Rn/start_time/end_time/duration}
	required where applicable	humidity_regm	xs:token			required					humidity regimen/adition treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	light_regm	xs:token			required					light regimen treatment		{text};{float} {unit};{float} {unit}
	required where applicable	biotic_regm	xs:token			required					biotic regimen/addition treatment		{text}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	required where applicable	size_frac_low	xs:token			required					size-fraction lower threshold		{value}{text}
	required where applicable	size_frac_up	xs:token			required					size-fraction upper threshold		{value}{text}
	required where applicable	size_frac	xs:token			required					Size Fraction- Filter Type		{text}
	required where applicable	sieving	xs:token			required					Sieve Size		{value}{text}
	required where applicable	samp_collect_device	xs:token			required					sample collection device	Report dimensions and details when applicable	{text} dimensions
	required where applicable	host_common_name	xs:token			required					common name		{text}
	required where applicable	host_taxid	xs:token			required					NCBI ID		{text}
	required where applicable	alt	xs:decimal			required					altitude-meters		{value}
	required where applicable	isol_growth_condt	xs:token			required					Isolation and growth conditions		{DOI} or {URL} or {text}
	required where applicable	growth_medium	select			required					Growth Medium		{text}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	optional	biotic_relationship	select								biotic relationship		enumeration
	optional	encoded_traits	xs:token								encoded traits		for plasmid: antibiotic resistance {text}; for phage: converting genes {text}
	optional	host_spec_range	xs:nonNegativeInteger								host specificity or range		{integer}
	optional	oxy_stat_samp	select								oxygenation status of sample		enumeration
	optional	pathogenicity	xs:token								known pathogenicity		{text}
	optional	propagation	xs:token								propagation		{text}
	optional	ref_biomaterial	xs:token								reference for biomaterial		{PMID}|{DOI}|{URL}
	optional	specific_host	xs:token								specific host		{NCBI taxid}|{text}
	optional	subspecf_gen_lin	xs:token								subspecific genetic lineage		{rank name}:{text}
	optional	trophic_level	select								trophic level		enumeration
	investigation_type	chemical speciation/mapping											
	investigation_type	genome											
	investigation_type	imaging- electron											
	investigation_type	imaging- ion											
	investigation_type	imaging- light											
	investigation_type	lipidome											
	investigation_type	metabolome											
	investigation_type	molecular structure											
	investigation_type	organic matter											
	investigation_type	proteome											
	investigation_type	transcriptome											
	growth_facil	experimental_garden											
	growth_facil	field											
	growth_facil	field_incubation											
	growth_facil	greenhouse											
	growth_facil	growth_chamber											
	growth_facil	lab_incubation											
