Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
		sample identification											
		required where applicable											
		optional											
		required											
	sample identification	unique_ID	xs:unique			required					Unique ID	Field REQUIRED for ALL sample submission. Options: IGSN- http://www.geosamples.org/getigsn ; UUID- https://www.uuidgenerator.net/	{text}
	sample identification	samp_name	xs:token			required					Sample Name	ID that is present on the shipped sample. Human readable.	{text}
	sample identification	investigation_type	select			required					Analysis/Data Type	This field is constrained to contain only a set of limited terms (listed under Expected value) that indicate the types of data that were generated. Include all the data types, this field can have multiple values separated by a ;	drop down selection list
	sample identification	package	xs:token			required					Sample Type	MIxS Package	{text}
	sample identification	source_mat_id	xs:token			required					Source Material ID	A unique identifier assigned to an original material sample collected or to any derived sub-samples. The source material should be listed as a sample to inform details about parent material relationship.	{text}
	required	growth_facil	select			required					Growth Facility	Type of facility or location form where the sample was harvested	{text}|{termLabel} {[termID]}
	required	collection_date	xs:date			required					Collection Date		{timestamp}
	required	samp_mat_process	xs:token			required					Material Processing		{text}|{termLabel} {[termID]}
	required	store_cond	select			required					Storage Condition	Informs how your sample was stored	drop down selection list
	required	samp_store_temp	select			required					Storage temperature		drop down selection list
	required	samp_size	xs:token			required					Sample size		{value}{text}
	required where applicable	geo_loc_name	xs:token			required					Geographical Location Name		country or sea name; region or state; specific location
	required where applicable	lat_lon	xs:token			required					latitude, longitude		{latitude decimal; longitude decimal}
	required where applicable	elev	xs:decimal			required					elevation-meters		{value}
	required where applicable	chem_administration	xs:token			required					chemical administration/addition treatment		{termLabel} {[termID]}; {timestamp}
	required where applicable	watering_regm	xs:token			required					watering regimen/schedule treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	air_temp_regm	xs:token			required					air temperature regimen treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	gaseous_environment	xs:token			required					gas evironment/exposure treatment		{text};{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	isotope_exposure	xs:token			required					isotope exposure/addition treatment		{text}
	required where applicable	climate_environment	xs:token			required					climate environment treatment		{text};{Rn/start_time/end_time/duration}
	required where applicable	humidity_regm	xs:token			required					humidity regimen/adition treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	light_regm	xs:token			required					light regimen treatment		{text};{float} {unit};{float} {unit}
	required where applicable	biotic_regm	xs:token			required					biotic regimen/addition treatment		{text}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	required where applicable	samp_collect_device	xs:token			required					sample collection device	Report dimensions and details when applicable	{text} dimensions
	required where applicable	plant_struc	select			required					Plant Structure		{text}
	required where applicable	host_common_name	xs:token			required					common name		{text}
	required where applicable	host_taxid	xs:token			required					NCBI ID		{text}
	required where applicable	alt	xs:decimal			required					altitude-meters		{value}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	optional	ances_data	xs:token								ancestral data		{text}
	optional	antibiotic_regm	xs:token								antibiotic regimen		antibiotic name {text} ;antibiotic amount {float} {unit} ;treatment interval and duration {Rn/start_time/end_time/duration}
	optional	biol_stat	select								biological status		
	optional	biotic_relationship	select								biotic relationship		enumeration
	optional	chem_mutagen	xs:token								chemical mutagen		mutagen name {text};mutagen amount {float} {unit};treatment interval and duration {Rn/start_time/end_time/duration}
	optional	cult_root_med	xs:token								culture rooting medium		{text}|{PMID}|{DOI}|{URL}
	optional	fertilizer_regm	xs:token								fertilizer regimen		fertilizer name{text}; fertilizer amount {float} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	fungicide_regm	xs:token								fungicide regimen		fungicide name {text}; fungicide amount {float} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	genetic_mod	xs:token								genetic modification		{PMID}|{DOI}|{URL}|{text}
	optional	gravity	xs:token								gravity		gravity factor value {float} {unit};treatment interval and duration {Rn/start_time/end_time/duration}
	optional	growth_habit	select								growth habit		enumeration
	optional	growth_hormone_regm	xs:token								growth hormone regimen		growth hormone name {text}; growth hormone amount {text} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	herbicide_regm	xs:token								herbicide regimen		herbicide name {text}; herbicide amount {value} {unit}; treatment interval and duration {Rn/start_time/end_time/duration}
	optional	host_age	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	host age		{float} {unit}
