Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
		sample identification											
		required where applicable											
		optional											
		required											
	sample identification	unique_ID	xs:unique			required					Unique ID	Field REQUIRED for ALL sample submission. Options: IGSN- http://www.geosamples.org/getigsn ; UUID- https://www.uuidgenerator.net/	{text}
	sample identification	samp_name	xs:token			required					Sample Name	ID that is present on the shipped sample. Human readable.	{text}
	sample identification	investigation_type	select			required					Analysis/Data Type	This field is constrained to contain only a set of limited terms (listed under Expected value) that indicate the types of data that were generated. Include all the data types, this field can have multiple values separated by a ;	drop down selection list
	sample identification	package	xs:token			required					Sample Type	MIxS Package	{text}
	sample identification	source_mat_id	xs:token			required					Source Material ID	A unique identifier assigned to an original material sample collected or to any derived sub-samples. The source material should be listed as a sample to inform details about parent material relationship.	{text}
	required	growth_facil	select			required					Growth Facility	Type of facility or location form where the sample was harvested	{text}|{termLabel} {[termID]}
	required	collection_date	xs:date			required					Collection Date		{timestamp}
	required	samp_mat_process	xs:token			required					Material Processing		{text}|{termLabel} {[termID]}
	required	store_cond	select			required					Storage Condition	Informs how your sample was stored	drop down selection list
	required	samp_store_temp	select			required					Storage temperature		drop down selection list
	required	samp_size	xs:token			required					Sample size		{value}{text}
	required where applicable	geo_loc_name	xs:token			required					Geographical Location Name		country or sea name; region or state; specific location
	required where applicable	lat_lon	xs:token			required					latitude, longitude		{latitude decimal; longitude decimal}
	required where applicable	elev	xs:decimal			required					elevation-meters		{value}
	required where applicable	depth	xs:token			required					depth-meters	When sample is collected with a ___ depth and homogenized, please report depth as a ____. (example, 0-10cm for soil collected from the surface to 10cm below and homogenized, or 10-20 for soil collected and homogenized from 10cm below the surface to 20cm).	{range value}
	required where applicable	chem_administration	xs:token			required					chemical administration/addition treatment		{termLabel} {[termID]}; {timestamp}
	required where applicable	watering_regm	xs:token			required					watering regimen/schedule treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	air_temp_regm	xs:token			required					air temperature regimen treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	gaseous_environment	xs:token			required					gas evironment/exposure treatment		{text};{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	isotope_exposure	xs:token			required					isotope exposure/addition treatment		{text}
	required where applicable	climate_environment	xs:token			required					climate environment treatment		{text};{Rn/start_time/end_time/duration}
	required where applicable	humidity_regm	xs:token			required					humidity regimen/adition treatment		{float} {unit};{Rn/start_time/end_time/duration}
	required where applicable	light_regm	xs:token			required					light regimen treatment		{text};{float} {unit};{float} {unit}
	required where applicable	biotic_regm	xs:token			required					biotic regimen/addition treatment		{text}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	required where applicable	sieving	xs:token			required					Sieve Size		{value}{text}
	required where applicable	samp_collect_device	xs:token			required					sample collection device	Report dimensions and details when applicable	{text} dimensions
	required where applicable	alt	xs:decimal			required					altitude-meters		{value}
	required where applicable	other	xs:token			required					treatment-other details		{text}
	optional	agrochem_addition	xs:token								history/agrochemical additions		agrochemical name {text} ;agrochemical amount {value} ;timestamp {date}
	optional	al_sat	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	extreme_unusual_properties/Al saturation		{float} {unit}
	optional	al_sat_meth	xs:token								extreme_unusual_properties/Al saturation method		{PMID}|{DOI}|{URL}
	optional	annual_precpt	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	mean annual precipitation		{float} {unit}
	optional	annual_temp	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	mean annual temperature		{float} {unit}
	optional	biotic_relationship	select								biotic relationship		enumeration
	optional	crop_rotation	xs:token								history/crop rotation		crop rotation status {boolean}; schedule {Rn/start_time/end_time/duration}
	optional	cur_land_use	select								current land use		enumeration
	optional	cur_vegetation	xs:token								current vegetation		{text}
	optional	cur_vegetation_meth	xs:token								current vegetation method		{PMID}|{DOI}|{URL}
	optional	drainage_class	select								drainage classification		enumeration
	optional	extreme_event	xs:date								history/extreme events		{timestamp}
	optional	extreme_salinity	xs:token							^[+-]?([0-9]*[.])?[0-9]+ \S+$	extreme_unusual_properties/salinity		{float} {unit}
	optional	fao_class	select								soil_taxonomic/FAO classification		enumeration
	optional	fire	xs:date								history/fire		{timestamp}
	optional	flooding	xs:date								history/flooding		{timestamp}
