Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	pattern	description	guidance	examples
		sample identification											
		required											
		required where applicable											
		treatment											
		optional											
IoT:ID	sample identification	Globally Unique ID	xs:unique			required					A globally unique identifier assigned to the biological sample to link all analytes and subsamples derived from it.	Field REQUIRED for ALL sample submission. Options: IGSN- http://www.geosamples.org/getigsn ; UUID- https://www.uuidgenerator.net/	
MIXS:0000551	treatment	air temperature regimen treatment	xs:token								Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens	Expected value: temperature value;treatment interval and duration|Preferred unit: meter|Occurrence: m|This field is used uniquely in: plant-associated	25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M
MIXS:0000421	optional	alkalinity	xs:token								Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	Expected value: measurement value|Preferred unit: milliequivalent per liter, milligram per liter|Occurrence: 1|This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	50 milligram per liter
MIXS:0000298	optional	alkalinity method	xs:token								Method used for alkalinity measurement	Expected value: description of method|Occurrence: 1|This field is used in: 3 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, water	titration
MIXS:0000490	optional	alkyl diethers	xs:token								Concentration of alkyl diethers	Expected value: measurement value|Preferred unit: mole per liter|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	0.005 mole per liter
MIXS:0000094	required where applicable	altitude-meters	xs:token			required					Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Expected value: measurement value|This field is used in: 3 packages: air, host-associated, miscellaneous natural or artificial environment	100 meter
MIXS:0000172	optional	aminopeptidase activity	xs:token								Measurement of aminopeptidase activity	Expected value: measurement value|Preferred unit: mole per liter per hour|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	0.269 mole per liter per hour
MIXS:0000427	optional	ammonium	xs:token								Concentration of ammonium in the sample	Expected value: measurement value|Preferred unit: micromole per liter, milligram per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	1.5 milligram per liter
MIXS:0001097	optional	atmospheric data	xs:token								Measurement of atmospheric data; can include multiple data	Expected value: atmospheric data name;measurement value|Occurrence: m|This field is used uniquely in: water	wind speed;9 knots
MIXS:0000683	optional	bacterial production	xs:token								Bacterial production in the water column measured by isotope uptake	Expected value: measurement value|Preferred unit: milligram per cubic meter per day|Occurrence: 1|This field is used uniquely in: water	5 milligram per cubic meter per day
MIXS:0000684	optional	bacterial respiration	xs:token								Measurement of bacterial respiration in the water column	Expected value: measurement value|Preferred unit: milligram per cubic meter per day, micromole oxygen per liter per hour|Occurrence: 1|This field is used uniquely in: water	300 micromole oxygen per liter per hour
MIXS:0000173	optional	bacterial carbon production	xs:token								Measurement of bacterial carbon production	Expected value: measurement value|Preferred unit: nanogram per hour|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	2.53 microgram per liter per hour
MIXS:0000174	optional	biomass	xs:token								Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements	Expected value: biomass type;measurement value|Preferred unit: ton, kilogram, gram|Occurrence: m|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	total;20 gram
MIXS:0001038	treatment	biotic regimen/addition treatment	xs:token								Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.	Expected value: free text|Occurrence: 1|This field is used uniquely in: plant-associated	sample inoculated with Rhizobium spp. Culture
MIXS:0000175	optional	bishomohopanol	xs:token								Concentration of bishomohopanol	Expected value: measurement value|Preferred unit: microgram per liter, microgram per gram|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	14 microgram per liter
MIXS:0000176	optional	bromide	xs:token								Concentration of bromide	Expected value: measurement value|Preferred unit: parts per million|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	0.05 parts per million
MIXS:0000432	optional	calcium	xs:token								Concentration of calcium in the sample	Expected value: measurement value|Preferred unit: milligram per liter, micromole per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	0.2 micromole per liter
MIXS:0000310	optional	carbon/nitrogen ratio	xs:token								Ratio of amount or concentrations of carbon to nitrogen	Expected value: measurement value|Occurrence: 1|This field is used in: 3 packages: microbial mat_biofilm, sediment, water	0.417361111
MIXS:0000751	treatment	chemical administration/addition treatment	xs:token								List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	Expected value: CHEBI;timestamp|Occurrence: m|This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	agar [CHEBI:2509];2018-05-11T20:00Z
MIXS:0000429	optional	chloride	xs:token								Concentration of chloride in the sample	Expected value: measurement value|Preferred unit: milligram per liter, parts per million|Occurrence: 1|This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	5000 milligram per liter
MIXS:0000177	optional	chlorophyll	xs:token								Concentration of chlorophyll	Expected value: measurement value|Preferred unit: milligram per cubic meter, microgram per liter|Occurrence: 1|This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	5 milligram per cubic meter
MIXS:0001040	treatment	climate environment treatment	xs:token								Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates	Expected value: climate name;treatment interval and duration|Occurrence: m|This field is used uniquely in: plant-associated	tropical climate;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M
