label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
NMDC slots												
id	NMDC slots	xs:token	required	A unique identifier for a thing. Must be either a CURIE shorthand for a URI or a complete URI								
identifier	NMDC slots	xs:token	required	 								
name	NMDC slots	xs:token	required	A human readable label for an entity								
ncbi_taxonomy_name	NMDC slots	xs:token	required	 								
env_package	NMDC slots	xs:token	required	MIxS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported	soil	Expected value: enumeration. Position: 13.0						
samp_mat_process	NMDC slots	xs:token	required	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	filtering of seawater, storing samples in ethanol	Expected value: text. Position: 32.0						
ecosystem	NMDC slots	xs:token	required	TODO								
ecosystem_category	NMDC slots	xs:token	required	TODO								
ecosystem_type	NMDC slots	xs:token	required	TODO								
ecosystem_subtype	NMDC slots	xs:token	required	TODO								
specific_ecosystem	NMDC slots	xs:token	required	TODO								
Study IDs	NMDC slots	xs:token	recommended	|-seperated list of NMDC study identifiers								
environment field												
core field												
air_temp_regm	core field	xs:token		Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens	25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: temperature value;treatment interval and duration. Preferred unit: meter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000551					
alt	environment field	xs:token		Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	100 meter	Expected value: measurement value. This field is used in: 3 packages: air, host-associated, miscellaneous natural or artificial environment	MIXS:0000094					
ances_data	core field	xs:token		Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B)	A/3*B	Expected value: free text. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000247					
antibiotic_regm	core field	xs:token		Information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple antibiotic regimens	penicillin;5 milligram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: antibiotic name;antibiotic amount;treatment interval and duration. Preferred unit: milligram. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000553					
biol_stat	core field	select		The level of genome modification.	natural	Expected value: enumeration. Occurrence: 1. Position: 2.0. This field is used in: 2 packages: host-associated, plant-associated	MIXS:0000858					
biotic_regm	core field	xs:token		Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.	sample inoculated with Rhizobium spp. Culture	Expected value: free text. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001038					
chem_administration	core field	xs:token		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	agar [CHEBI:2509];2018-05-11T20:00Z	Expected value: CHEBI;timestamp. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000751					
chem_mutagen	core field	xs:token		Treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple mutagen regimens	nitrous acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: mutagen name;mutagen amount;treatment interval and duration. Preferred unit: milligram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0000555					
climate_environment	core field	xs:token		Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates	tropical climate;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	Expected value: climate name;treatment interval and duration. Occurrence: m. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001040					
collection_date	environment field	xs:date	required	The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	2018-05-11T10:00:00+01:00; 2018-05-11	Expected value: date and time. Position: 9.0	MIXS:0000011					
cult_root_med	core field	xs:token		Name or reference for the hydroponic or in vitro culture rooting medium; can be the name of a commonly used medium or reference to a specific medium, e.g. Murashige and Skoog medium. If the medium has not been formally published, use the rooting medium descriptors.	http://himedialabs.com/TD/PT158.pdf	Expected value: name, PMID,DOI or url. Occurrence: 1. Position: 1.0. This field is used uniquely in: plant-associated	MIXS:0001041					
depth	environment field	xs:token	required	The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	10 meter	Expected value: measurement value. Position: 6.0. This field is used in: 8 packages: host-associated, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water	MIXS:0000018					
elev	environment field	xs:token	required	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	100 meter	Expected value: measurement value. Position: 7.0. This field is used in: 9 packages: air, host-associated, hydrocarbon resources-cores, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, water	MIXS:0000093					
