label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
NMDC slots												
id	NMDC slots	xs:token	required	A unique identifier for a thing. Must be either a CURIE shorthand for a URI or a complete URI								
identifier	NMDC slots	xs:token	required	 								
name	NMDC slots	xs:token	required	A human readable label for an entity								
ncbi_taxonomy_name	NMDC slots	xs:token	required	 								
env_package	NMDC slots	xs:token	required	MIxS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported	soil	Expected value: enumeration. Position: 13.0						
samp_mat_process	NMDC slots	xs:token	required	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	filtering of seawater, storing samples in ethanol	Expected value: text. Position: 32.0						
ecosystem	NMDC slots	xs:token	required	TODO								
ecosystem_category	NMDC slots	xs:token	required	TODO								
ecosystem_type	NMDC slots	xs:token	required	TODO								
ecosystem_subtype	NMDC slots	xs:token	required	TODO								
specific_ecosystem	NMDC slots	xs:token	required	TODO								
Study IDs	NMDC slots	xs:token	recommended	|-seperated list of NMDC study identifiers								
environment field												
core field												
alkalinity	core field	xs:token		Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	50 milligram per liter	Expected value: measurement value. Preferred unit: milliequivalent per liter, milligram per liter. Occurrence: 1. Position: 56.0. This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	MIXS:0000421					
alt	environment field	xs:token		Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	100 meter	Expected value: measurement value. This field is used in: 3 packages: air, host-associated, miscellaneous natural or artificial environment	MIXS:0000094					
biochem_oxygen_dem	core field	xs:token		Amount of dissolved oxygen needed by aerobic biological organisms in a body of water to break down organic material present in a given water sample at certain temperature over a specific time period		Expected value: measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000653					
chem_administration	core field	xs:token		List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi	agar [CHEBI:2509];2018-05-11T20:00Z	Expected value: CHEBI;timestamp. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000751					
chem_oxygen_dem	core field	xs:token		A measure of the capacity of water to consume oxygen during the decomposition of organic matter and the oxidation of inorganic chemicals such as ammonia and nitrite		Expected value: measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000656					
collection_date	environment field	xs:date	required	The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	2018-05-11T10:00:00+01:00; 2018-05-11	Expected value: date and time. Position: 9.0	MIXS:0000011					
depth	environment field	xs:token	required	The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	10 meter	Expected value: measurement value. Position: 6.0. This field is used in: 8 packages: host-associated, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water	MIXS:0000018					
efficiency_percent	core field	xs:token		Percentage of volatile solids removed from the anaerobic digestor		Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000657					
elev	environment field	xs:token	required	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	100 meter	Expected value: measurement value. Position: 7.0. This field is used in: 9 packages: air, host-associated, hydrocarbon resources-cores, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, water	MIXS:0000093					
emulsions	core field	xs:token		Amount or concentration of substances such as paints, adhesives, mayonnaise, hair colorants, emulsified oils, etc.; can include multiple emulsion types		Expected value: emulsion name;measurement value. Preferred unit: gram per liter. Occurrence: m. Position: 1.0. This field is used uniquely in: wastewater_sludge	MIXS:0000660					
env_broad_scale	environment field	xs:token	required	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvOs biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean	Expected value: The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.. Position: 10.0	MIXS:0000012					
env_local_scale	environment field	xs:token	required	Report the entity or entities which are in the sample or specimens local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].	Expected value: Environmental entities having causal influences upon the entity at time of sampling.. Position: 11.0	MIXS:0000013					
