Ontology ID	Subset	Meaning (LinkML)	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GISAID	EXPORT_NCBI_BIOSAMPLE	EXPORT_NCBI_SRA	EXPORT_NCBI_Genbank	EXPORT_NCBI_Genbank_source_modifiers
ID	AT oboInOwl:inSubset^^xsd:string		SC %																
GENEPIO:0001122	Covid-19			Database Identifiers															
GENEPIO:0001123	Covid-19		Database Identifiers	specimen collector sample ID	xs:token		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The user-defined name for the sample.	Store the collector sample ID. If this number is considered identifiable information, provide an alternative ID. Be sure to store the key that maps between the original and alternative IDs for traceability and follow up if necessary. Every collector sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab.	prov_rona_99	Sample ID given by the sample provider;Sample ID given by the submitting laboratory	sample_name	sample_name	sample_name	Sequence_ID
GENEPIO:0001133	Covid-19		Database Identifiers	umbrella bioproject accession	xs:token						UPPER	The INSDC accession number assigned to the umbrella BioProject for the Canadian SARS-CoV-2 sequencing effort.	Store the umbrella BioProject accession by selecting it from the picklist in the template. The umbrella BioProject accession will be identical for all CanCOGen submitters. Different provinces will have their own BioProjects, however these BioProjects will be linked under one umbrella BioProject.	PRJNA623807					
GENEPIO:0001136	Covid-19	GENEPIO:0001836	Database Identifiers	bioproject accession	xs:token						UPPER	The INSDC accession number of the BioProject(s) to which the BioSample belongs.	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project. 	PRJNA12345		bioproject_accession	bioproject_accession		BioProject
GENEPIO:0001139	Covid-19	GENEPIO:0001836	Database Identifiers	biosample accession	xs:token			recommended			UPPER	The identifier assigned to a BioSample in INSDC archives.	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN.	SAMN14180202			biosample_accession	biosample_accession	BioSample
GENEPIO:0001142	Covid-19	GENEPIO:0000147	Database Identifiers	SRA accession	xs:token						UPPER	The Sequence Read Archive (SRA) identifier linking raw read data, methodological metadata and quality control metrics submitted to the INSDC.	Store the accession assigned to the submitted "run". NCBI-SRA accessions start with SRR.	SRR11177792					
GENEPIO:0001145	Covid-19	OBI:0001614	Database Identifiers	GenBank/ENA/DDBJ accession	xs:token						UPPER	The GenBank identifier assigned to the sequence in the INSDC archives.	Store the accession returned from a GenBank submission (viral genome assembly).	MN908947.3					
GENEPIO:0001147	Covid-19		Database Identifiers	GISAID accession	xs:token						UPPER	The GISAID accession number assigned to the sequence.	Store the accession returned from the GISAID submission.	EPI_ISL_123456		gisaid_accession			
GENEPIO:0100282	Covid-19		Database Identifiers	GISAID virus name	xs:token						UPPER	The user-defined GISAID virus name assigned to the sequence.	GISAID virus names should be in the format "hCoV-19/Country/Identifier/year".	hCoV-19/Canada/prov_rona_99/2020	Virus name	gisaid_virus_name			
GENEPIO:0100283	Covid-19		Database Identifiers	host specimen voucher	xs:token						UPPER	Identifier for the physical specimen.	Include a URI (Uniform Resource Identifier) in the form of a URL providing a direct link to the physical host specimen. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical host voucher specimen. If a URI is not available, a museum-provided globally unique identifier (GUID) can be used. If no persistent unique identifier is available, follow the INSDC guidance for populating the voucher_specimen attribute using standard triplets for institution codes (i.e., /specimen_voucher="[<institution-code>:[<collection-code>:]]<specimen_id>"): http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier	URI example: http://portal.vertnet.org/o/fmnh/mammals?id=33e55cfe-330b-40d9-aaae-8d042cba7542, INSDC triplet example: UAM:Mamm:52179		host_specimen_voucher			
GENEPIO:0001268	Covid-19			Sample collection and processing															
GENEPIO:0001153	Covid-19		Sample collection and processing	sample collected by	xs:token		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The name of the agency that collected the original sample.	The name of the sample collector should be written out in full, (with minor exceptions) and be consistent across multple submissions e.g. Public Health Agency of Canada, Public Health Ontario, BC Centre for Disease Control. The sample collector specified is at the discretion of the data provider (i.e. may be hospital, provincial public health lab, or other).	Public Health Agency of Canada	Originating lab	collected_by			
GENEPIO:0001156	Covid-19		Sample collection and processing	sample collector contact email	xs:token							The email address of the contact responsible for follow-up regarding the sample.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	johnnyblogs@lab.ca					
GENEPIO:0001158	Covid-19		Sample collection and processing	sample collector contact address	xs:token							The mailing address of the agency submitting the sample.	The mailing address should be in the format: Street number and name, City, Province/Territory, Postal Code, Country	655 Lab St, Vancouver, British Columbia, V5N 2A2, Canada	Address				
GENEPIO:0001159	Covid-19		Sample collection and processing	sequence submitted by	xs:token		Not Applicable [GENEPIO:0001619]; Not Collected [GENEPIO:0001620]; Not Provided [GENEPIO:0001668]; Missing [GENEPIO:0001618]; Restricted Access [GENEPIO:0001810]	required				The name of the agency that generated the sequence.	The name of the agency should be written out in full, (with minor exceptions) and be consistent across multple submissions. If submitting specimens rather than sequencing data, please put the "National Microbiology Laboratory (NML)".	Centers for Disease Control and Prevention	Submitting lab	sequenced_by			
