class_name	slot_group	slot_uri	title	name	range	range_2	identifier	required	recommended	multivalued	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GRDI
PHAC Dexa	Database Identifiers																	
	Database Identifiers		SPECIMEN_ID		WhitespaceMinimizedString													alternative_sample_ID
	Database Identifiers		ISOLATE_ID		WhitespaceMinimizedString			TRUE										isolate_ID
	Database Identifiers		SAMPLE_ID		WhitespaceMinimizedString			TRUE										sample_collector_sample_ID
	Fields to put in sections																	
	Fields to put in sections		SENTINEL_SITE		WhitespaceMinimizedString													
	Fields to put in sections		LFZ_ADDITIONAL_SAMPLE_ID		WhitespaceMinimizedString													
	Fields to put in sections		LFZ_ORIGIN_COUNTRY		WhitespaceMinimizedString													
	Fields to put in sections		SUBJECT_CODE		WhitespaceMinimizedString													
	Fields to put in sections		SUBJECT_DESCRIPTIONS		SUBJECT_DESCRIPTIONS menu													
	Fields to put in sections		SUBMITTINGORG_1		WhitespaceMinimizedString													collected_by
	Fields to put in sections		SUBMITTINGLAB_1		WhitespaceMinimizedString													laboratory_name
	Fields to put in sections		PROJECT_1		WhitespaceMinimizedString													
	Fields to put in sections		COUNTRY_1		WhitespaceMinimizedString													geo_loc_name (country)
	Fields to put in sections		PROVINCE_1		WhitespaceMinimizedString													geo_loc_name (state/province/region)
	Fields to put in sections		CENSUSDIVISION_1		WhitespaceMinimizedString													
	Fields to put in sections		REGION		WhitespaceMinimizedString													
	Fields to put in sections		YEAR		WhitespaceMinimizedString													
	Fields to put in sections		MONTH		WhitespaceMinimizedString													
	Fields to put in sections		QTR		WhitespaceMinimizedString													
	Fields to put in sections		DATECOLLECTED_1		date													sample_collection_date
	Fields to put in sections		DATERECEIVED_1		WhitespaceMinimizedString													
	Fields to put in sections		DATESHIPPED_1		WhitespaceMinimizedString													
	Fields to put in sections		ESTABLISHMENT_1		WhitespaceMinimizedString													
	Fields to put in sections		SPECIES		SPECIES menu													host (common name):
	Fields to put in sections		STTYPE		STTYPE menu													
	Fields to put in sections		STYPE		STYPE menu													
	Fields to put in sections		COMMODITY		COMMODITY menu													
	Fields to put in sections		SPECIMENSOURCE_1		SPECIMENSOURCE_1 menu													
	Fields to put in sections		SPECIMENSUBSOURCE_1		SPECIMENSUBSOURCE_1 menu													
	Fields to put in sections		SUBJECT_SUBTYPE		SUBJECT_SUBTYPE menu													
	Fields to put in sections		FIELDSTAFF_1		WhitespaceMinimizedString													
	Fields to put in sections		IN_STORE_PROCESSING		WhitespaceMinimizedString													
	Fields to put in sections		MAYCONTAINFROZENMEAT_1		WhitespaceMinimizedString													
	Fields to put in sections		NOOFCASHREGISTERS_1		WhitespaceMinimizedString													
	Fields to put in sections		PRICEPERKG_1		WhitespaceMinimizedString													
	Fields to put in sections		STORETYPE_SAMPLINGSITE_1		WhitespaceMinimizedString													
	Fields to put in sections		TEMPERATUREMAX_1		WhitespaceMinimizedString													
	Fields to put in sections		TEMPERATUREMIN_1		WhitespaceMinimizedString													
	Fields to put in sections		TEMPERATUREARRIVAL_1		WhitespaceMinimizedString													
	Fields to put in sections		VETID		WhitespaceMinimizedString													
	Fields to put in sections		ROOMID		WhitespaceMinimizedString													
	Fields to put in sections		PENID		WhitespaceMinimizedString													
	Fields to put in sections		SAMPLING_TYPE		WhitespaceMinimizedString													
	Fields to put in sections		BARN_ID		WhitespaceMinimizedString													
	Fields to put in sections		DATE_PACKED		WhitespaceMinimizedString													
	Fields to put in sections		FINAL_ID_GENUS		WhitespaceMinimizedString													organism
	Fields to put in sections		FINAL_ID_SPECIES		WhitespaceMinimizedString													organism
	Fields to put in sections		FINAL_ID_SUBSPECIES		WhitespaceMinimizedString													
	Fields to put in sections		FINAL_ID_SEROTYPE		WhitespaceMinimizedString													serovar
	Fields to put in sections		FINAL_ID_ANTIGEN		WhitespaceMinimizedString													
	Fields to put in sections		FINAL_ID_PHAGETYPE		WhitespaceMinimizedString													phagetype
	Fields to put in sections		SA_Serotype_Method		WhitespaceMinimizedString													serotyping_method
	Fields to put in sections		SEROTYPE_GR		WhitespaceMinimizedString													
	Fields to put in sections		MIC_AMC		WhitespaceMinimizedString													
	Fields to put in sections		MIC_AMK		WhitespaceMinimizedString													
	Fields to put in sections		MIC_AMP		WhitespaceMinimizedString													
	Fields to put in sections		MIC_AZM		WhitespaceMinimizedString													
	Fields to put in sections		MIC_CEP		WhitespaceMinimizedString													
	Fields to put in sections		MIC_CHL		WhitespaceMinimizedString													
	Fields to put in sections		MIC_CIP		WhitespaceMinimizedString													
	Fields to put in sections		MIC_CRO		WhitespaceMinimizedString													
	Fields to put in sections		MIC_FOX		WhitespaceMinimizedString													
	Fields to put in sections		MIC_GEN		WhitespaceMinimizedString													
	Fields to put in sections		MIC_KAN		WhitespaceMinimizedString													
	Fields to put in sections		MIC_MEM		WhitespaceMinimizedString													
	Fields to put in sections		MIC_NAL		WhitespaceMinimizedString													
	Fields to put in sections		MIC_SSS		WhitespaceMinimizedString													
	Fields to put in sections		MIC_STR		WhitespaceMinimizedString													
	Fields to put in sections		MIC_SXT		WhitespaceMinimizedString													
	Fields to put in sections		MIC_TET		WhitespaceMinimizedString													
	Fields to put in sections		MIC_TIO		WhitespaceMinimizedString													
	Fields to put in sections		N_OF_RESISTANCE		WhitespaceMinimizedString													
	Fields to put in sections		NBTESTED		WhitespaceMinimizedString													
	Fields to put in sections		R_PATTERN		WhitespaceMinimizedString													
	Fields to put in sections		AMR_PA2C		WhitespaceMinimizedString													
	Fields to put in sections		RLEAST1		WhitespaceMinimizedString													
	Fields to put in sections		RLEAST2		WhitespaceMinimizedString													
	Fields to put in sections		RLEAST3		WhitespaceMinimizedString													
	Fields to put in sections		RLEAST4		WhitespaceMinimizedString													
	Fields to put in sections		RLEAST5		WhitespaceMinimizedString													
	Fields to put in sections		SIR_AMC		WhitespaceMinimizedString													
	Fields to put in sections		SIR_AMK		WhitespaceMinimizedString													
	Fields to put in sections		SIR_AMP		WhitespaceMinimizedString													
	Fields to put in sections		SIR_AZM		WhitespaceMinimizedString													
	Fields to put in sections		SIR_CEP		WhitespaceMinimizedString													
	Fields to put in sections		SIR_CHL		WhitespaceMinimizedString													
	Fields to put in sections		SIR_CIP		WhitespaceMinimizedString													
	Fields to put in sections		SIR_CRO		WhitespaceMinimizedString													
	Fields to put in sections		SIR_FOX		WhitespaceMinimizedString													
	Fields to put in sections		SIR_GEN		WhitespaceMinimizedString													
	Fields to put in sections		SIR_KAN		WhitespaceMinimizedString													
	Fields to put in sections		SIR_MEM		WhitespaceMinimizedString													
	Fields to put in sections		SIR_NAL		WhitespaceMinimizedString													
	Fields to put in sections		SIR_SSS		WhitespaceMinimizedString													
	Fields to put in sections		SIR_STR		WhitespaceMinimizedString													
	Fields to put in sections		SIR_SXT		WhitespaceMinimizedString													
	Fields to put in sections		SIR_TET		WhitespaceMinimizedString													
	Fields to put in sections		SIR_TIO		WhitespaceMinimizedString													
	Fields to put in sections		RAMC		WhitespaceMinimizedString													
	Fields to put in sections		RAMK		WhitespaceMinimizedString													
	Fields to put in sections		RAMP		WhitespaceMinimizedString													
	Fields to put in sections		RAZM		WhitespaceMinimizedString													
	Fields to put in sections		RCEP		WhitespaceMinimizedString													
	Fields to put in sections		RCHL		WhitespaceMinimizedString													
	Fields to put in sections		RCIP		WhitespaceMinimizedString													
	Fields to put in sections		RCRO		WhitespaceMinimizedString													
	Fields to put in sections		RFOX		WhitespaceMinimizedString													
	Fields to put in sections		RGEN		WhitespaceMinimizedString													
	Fields to put in sections		RKAN		WhitespaceMinimizedString													
	Fields to put in sections		RMEM		WhitespaceMinimizedString													
	Fields to put in sections		RNAL		WhitespaceMinimizedString													
	Fields to put in sections		RSSS		WhitespaceMinimizedString													
	Fields to put in sections		RSTR		WhitespaceMinimizedString													
	Fields to put in sections		RSXT		WhitespaceMinimizedString													
	Fields to put in sections		RTET		WhitespaceMinimizedString													
	Fields to put in sections		RTIO		WhitespaceMinimizedString													
	Fields to put in sections		A2C		WhitespaceMinimizedString													
	Fields to put in sections		CAMC		WhitespaceMinimizedString													
	Fields to put in sections		CAMK		WhitespaceMinimizedString													
	Fields to put in sections		CAMP		WhitespaceMinimizedString													
	Fields to put in sections		CAZM		WhitespaceMinimizedString													
	Fields to put in sections		CCEP		WhitespaceMinimizedString													
	Fields to put in sections		CCHL		WhitespaceMinimizedString													
	Fields to put in sections		CCIP		WhitespaceMinimizedString													
	Fields to put in sections		CCRO		WhitespaceMinimizedString													
	Fields to put in sections		CFOX		WhitespaceMinimizedString													
	Fields to put in sections		CGEN		WhitespaceMinimizedString													
	Fields to put in sections		CKAN		WhitespaceMinimizedString													
	Fields to put in sections		CMEM		WhitespaceMinimizedString													
	Fields to put in sections		CNAL		WhitespaceMinimizedString													
	Fields to put in sections		CSSS		WhitespaceMinimizedString													
	Fields to put in sections		CSTR		WhitespaceMinimizedString													
	Fields to put in sections		CSXT		WhitespaceMinimizedString													
	Fields to put in sections		CTET		WhitespaceMinimizedString													
	Fields to put in sections		CTIO		WhitespaceMinimizedString													
	Fields to put in sections		STHY_TESTSRC_ID		WhitespaceMinimizedString													
	Fields to put in sections		WINN_TESTSRC_ID		WhitespaceMinimizedString													
	Fields to put in sections		GUEL_TESTSRC_ID		WhitespaceMinimizedString													
	Fields to put in sections		RCIP_DANMAP		WhitespaceMinimizedString													
	Fields to put in sections		EPIDATESTAMP_1		WhitespaceMinimizedString													
	Fields to put in sections		ACSSUT		WhitespaceMinimizedString													
