title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
null value menu	NullValueMenu	GENEPIO:0001619	Not Applicable [GENEPIO:0001619]					A categorical choice recorded when a datum does not apply to a given context.						
		GENEPIO:0001618	Missing [GENEPIO:0001618]					A categorical choice recorded when a datum is not included for an unknown reason.						
		GENEPIO:0001620	Not Collected [GENEPIO:0001620]					A categorical choice recorded when a datum was not measured or collected.						
		GENEPIO:0001668	Not Provided [GENEPIO:0001668]					A categorical choice recorded when a datum was collected but is not currently provided in the information being shared. This value indicates the information may be shared at the later stage.						
		GENEPIO:0001810	Restricted Access [GENEPIO:0001810]					A categorical choice recorded when a given datum is available but not shared publicly because of information privacy concerns.						
														
purpose_of_sampling menu	PurposeOfSamplingMenu	GENEPIO:0100001	Cluster/Outbreak investigation [GENEPIO:0100001]					A sampling strategy in which individuals are chosen for investigation into a disease cluster or outbreak.						
		GENEPIO:0100002	Diagnostic testing [GENEPIO:0100002]					A sampling strategy in which individuals are sampled in the context of diagnostic testing.						
		GENEPIO:0100548	Environmental testing [GENEPIO:0100548]					A sampling strategy in which environments are sampled in the context of testing for the presence of, or change in the levels of, chemicals, pathogens or other phenomena.						
		GENEPIO:0100003	Research [GENEPIO:0100003]					A sampling strategy in which individuals are sampled in order to perform research.						
		GENEPIO:0100549	      	Clinical trial [GENEPIO:0100549]				A sampling strategy in which individuals are sampled in the context of experiments or observations performed as part of clinical research. 						
		GENEPIO:0100550	      	Field experiment [GENEPIO:0100550]				A sampling strategy in which samples are taken during real-life experiments which test directly whether proposed interventions actually work. 						
		GENEPIO:0100582	       	Survey study [GENEPIO:0100582]				A sampling strategy in which individuals and/or materials are sampled for surveillance performed for research purposes.						
		GENEPIO:0100004	Surveillance [GENEPIO:0100004]					A sampling strategy in which individuals are sampled for surveillance investigations.						
														
presampling_activity menu	PresamplingActivityMenu	GENEPIO:0100536	Addition of substances to food/water [GENEPIO:0100536]					The addition of substances to food or water administered to an individual or group of individuals.						
		GENEPIO:0100537	Antimicrobial pre-treatment [GENEPIO:0100537]					The administration of an antimicrobial agent to an individual or its addition to a substance prior to some other event or activity.						
		GENEPIO:0100538	Certified animal husbandry practices [GENEPIO:0100538]					The implementation of animal husbandy practices that have been certified by an authorized organization.						
		GENEPIO:0100894	      	Certified humane animal husbandry practices [GENEPIO:0100894]				A certification organization in Washington DC that is dedicated to improving the lives of farm animals in food production from birth through slaughter.						
		GENEPIO:0100539	Certified organic farming practices [GENEPIO:0100539]					The implementation of organic farming practices that have been certified by an authorized organization.						
		GENEPIO:0100895	Conventional farming practices [GENEPIO:0100895]					The implementation of farming practices that include man-made inputs such as chemical fertilizers and genetically-modified seeds.						
		GENEPIO:0100540	Change in storage conditions [GENEPIO:0100540]					A change in the storage conditions of a material or a substance.						
		GENEPIO:0100541	Cleaning/disinfection [GENEPIO:0100541]					A process of removing unwanted substances, such as dirt, infectious agents, and other impurities, from an object or environment.						
		GENEPIO:0100542	Extended downtime between activities [GENEPIO:0100542]					A prolonged period of inactivity between processes or events.						
		GENEPIO:0100543	Fertilizer pre-treatment [GENEPIO:0100543]					The addition of fertilizer to a material or environment prior to some other event or activity.						
		GENEPIO:0100544	Genetic mutation [GENEPIO:0100544]					A process in which a genetic mutation (or mutations) are created in an organism.						
		GENEPIO:0100545	Logistic slaughter [GENEPIO:0100545]					The logistical planning of events and processes upstream of the immediate slaughter of an animal (which may include controlling transport climate; traffic conditions, number of pick-up farms, as well as time and distance during transport; queuing at the abattoir etc) that optimize operations and reduce stress on the animal.						
		GENEPIO:0100546	Microbial pre-treatment [GENEPIO:0100546]					The deliberate addition of microbes or a mixture of microbes to an individual or substance prior to some other event or activity.						
		GENEPIO:0100547	Probiotic pre-treatment [GENEPIO:0100547]					The addition of a probiotic substance to an individual or material prior to some other event or activity.						
