class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_BIOSAMPLE	EXPORT_ENA								
B2B2B		GENEPIO:0001122	Database Identifiers																								
	Database Identifiers	GENEPIO:0001123	sample_collector_sample_ID	sample_collector_sample_ID	WhitespaceMinimizedString	null value menu			TRUE						The user-defined name for the sample.	The sample_ID should represent the identifier assigned to the sample at time of collection, for which all the descriptive information applies. If the original sample_ID is unknown or cannot be provided, leave blank or provide a null value.	ABCD123										
	Database Identifiers	GENEPIO:0001136	BioProject_accession	bioproject_accession	WhitespaceMinimizedString	null value menu			TRUE						The INSDC (i.e., ENA, NCBI, or DDBJ) accession number of the BioProject(s) to which the BioSample belongs.	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project.	PRJNA608651										
	Database Identifiers	GENEPIO:0001139	BioSample_accession	biosample_accession	WhitespaceMinimizedString	null value menu			TRUE						The identifier assigned to a BioSample in INSDC archives.	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN, while ENA BioSamples will have the prefix SAMEA.	SAMN14180202										
		GENEPIO:0001150	Sample collection and processing																								
	Sample collection and processing	GENEPIO:0101107	sample_collection_data_steward_contact_email	sample_collection_data_steward_contact_email	WhitespaceMinimizedString	null value menu			TRUE						The email address of the individual responsible for the data governance, (meta)data usage and distribution of the sample.	Provide the email address of the sample collection data steward. This may or may not be the same individual/organization that collected the sample. If the contact is the same, provide the same address as the "sample collector contact email".	bloggsj@aglab.ca										
	Sample collection and processing	GENEPIO:0001153	sample_collected_by	sample_collected_by	WhitespaceMinimizedString	null value menu			TRUE						The name of the organization with which the sample collector is affiliated.	The name of the agency should be written out in full, (with minor exceptions) and be consistent across multiple submissions.	Public Health Agency of Canada										
	Sample collection and processing	GENEPIO:0100429	sample_collection_name	sample_collection_name	WhitespaceMinimizedString	null value menu			TRUE						The name of the sample collection.	If the sample is associated with a particular collection, provide the name of the sample collection. Type culture collection names can be referenced here. Private collections and sample collection project names can also be included.	American Type Culture Collection (ATCC)										
	Sample collection and processing	OBIB:0000001	sample_collection_ID	sample_collection_ID	WhitespaceMinimizedString	null value menu			TRUE						The identifier associated with the sample collection.	If the sample is associated with a particular collection that can be refered to by an identifier, provide the identifier of the sample collection. 	BCRCAMUAMR										
	Sample collection and processing	GENEPIO:0102067	sample_collection_URL	sample_collection_URL	WhitespaceMinimizedString	null value menu			TRUE						The URL associated with online material about a sample collection.	If the sample collection has online materials that may be useful for providing context, include the URL associated with the sample collection.	https://www.jpiamr.eu/projects/b2b2b-amrdx/										
	Sample collection and processing	GENEPIO:0001156	sample_collector_contact_email	sample_collector_contact_email	WhitespaceMinimizedString	null value menu			TRUE						The email address of the contact responsible for follow-up regarding the sample.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	WaterTester@facility.ca										
	Sample collection and processing	GENEPIO:0001181	geo_loc_name_(country)	geo_loc_name_(country)	GeoLocNameCountryMenu	null value menu			TRUE						The country of origin of the sample.	If known, select a value from the pick list.	Canada										
	Sample collection and processing	GENEPIO:0001185	geo_loc_name_(state/province/territory)	geo_loc_name_(state/province/territory)	WhitespaceMinimizedString	null value menu			TRUE						The state/province/territory of origin of the sample.	Provide the state/province/territory name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/ga	Western Cape										
	Sample collection and processing	GENEPIO:0100436	geo_loc_name_(site)	geo_loc_name_(site)	WhitespaceMinimizedString	null value menu			TRUE						The name of a specific geographical location e.g. Credit River (rather than river).	Provide the name of the specific geographical site using a specific noun (a word that names a certain place, thing).	Credit River										
	Sample collection and processing	GENEPIO:0001191	organism	organism	OrganismMenu	null value menu			TRUE						Taxonomic name of the organism.	Provide the official nomenclature for the organism present in the sample. 	Salmonella enterica subsp. enterica [NCBITaxon:59201]										
	Sample collection and processing	GENEPIO:0001198	purpose_of_sampling	purpose_of_sampling	PurposeOfSamplingMenu	null value menu			TRUE						The reason that the sample was collected.	The reason a sample was collected may provide information about potential biases in sampling strategy. Provide the purpose of sampling from the picklist in the template. Most likely, the sample was collected for Diagnostic testing. The reason why a sample was originally collected may differ from the reason why it was selected for sequencing, which should be indicated in the "purpose of sequencing" field. 	Surveillance [GENEPIO:0100004]										
	Sample collection and processing	GENEPIO:0100433	presampling_activity	presampling_activity	PresamplingActivityMenu	null value menu			TRUE						The experimental activities or variables that affected the sample collected.	If there was experimental activity that would affect the sample prior to collection (this is different than sample processing), provide the experimental activities by selecting one or more values from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	Antimicrobial pre-treatment [GENEPIO:0100537]										
	Sample collection and processing	GENEPIO:0100434	presampling_activity_details	presampling_activity_details	WhitespaceMinimizedString	null value menu			TRUE						The details of the experimental activities or variables that affected the sample collected.	Briefly describe the experimental details using free text.	Chicken feed containing novobiocin was fed to chickens for 72 hours prior to collection of litter.										
