class_name	slot_group	slot_group_fr	slot_uri	title	name	title_fr	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	description_fr	comments	comments_fr	examples	examples_fr	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal
CanCOGeNCovid19			GENEPIO:0001122	Database Identifiers																							
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001123	specimen collector sample ID	specimen_collector_sample_id	ID du collecteur d’échantillons	WhitespaceMinimizedString		TRUE		TRUE						The user-defined name for the sample.	Nom défini par l’utilisateur pour l’échantillon	Store the collector sample ID. If this number is considered identifiable information, provide an alternative ID. Be sure to store the key that maps between the original and alternative IDs for traceability and follow up if necessary. Every collector sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab.	Conservez l’ID de l’échantillon du collecteur. Si ce numéro est considéré comme une information identifiable, fournissez un autre identifiant. Assurez-vous de conserver la clé qui correspond aux identifiants d’origine et alternatifs aux fins de traçabilité et de suivi, au besoin. Chaque ID d’échantillon de collecteur provenant d’un seul demandeur doit être unique. Il peut avoir n’importe quel format, mais nous vous suggérons de le rendre concis, unique et cohérent au sein de votre laboratoire.	prov_rona_99	prov_rona_99	Sample ID given by the sample provider	Primary Specimen ID	TEXT_ID	sample_name	specimen collector sample ID
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001202	third party lab service provider name	third_party_lab_service_provider_name	Nom du fournisseur de services de laboratoire tiers	WhitespaceMinimizedString										The name of the third party company or laboratory that provided services.	Nom de la société ou du laboratoire tiers qui fournit les services	Provide the full, unabbreviated name of the company or laboratory.	Indiquez le nom complet et non abrégé de l’entreprise ou du laboratoire.	Switch Health	Switch Health			HC_TEXT5		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001149	third party lab sample ID	third_party_lab_sample_id	ID de l’échantillon de laboratoire tiers	WhitespaceMinimizedString										The identifier assigned to a sample by a third party service provider.	Identifiant attribué à un échantillon par un prestataire de services tiers	Store the sample identifier supplied by the third party services provider.	Conservez l’identifiant de l’échantillon fourni par le prestataire de services tiers.	SHK123456	SHK123456			PH_ID_NUMBER_PRIMARY		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0100281	case ID	case_id	ID du dossier	WhitespaceMinimizedString					TRUE					The identifier used to specify an epidemiologically detected case of disease.	Identifiant utilisé pour désigner un cas de maladie détecté sur le plan épidémiologique	Provide the case identifer. The case ID greatly facilitates linkage between laboratory and epidemiological data. The case ID may be considered identifiable information. Consult the data steward before sharing.	Fournissez l’identifiant du cas, lequel facilite grandement le lien entre les données de laboratoire et les données épidémiologiques. Il peut être considéré comme une information identifiable. Consultez l’intendant des données avant de le transmettre.	ABCD1234	ABCD1234			PH_CASE_ID		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001128	Related specimen primary ID	related_specimen_primary_id	ID principal de l’échantillon associé	WhitespaceMinimizedString	NullValueMenu									The primary ID of a related specimen previously submitted to the repository.	Identifiant principal d’un échantillon associé précédemment soumis au dépôt	Store the primary ID of the related specimen previously submitted to the National Microbiology Laboratory so that the samples can be linked and tracked through the system.	Conservez l’identifiant primaire de l’échantillon correspondant précédemment soumis au Laboratoire national de microbiologie afin que les échantillons puissent être liés et suivis dans le système.	SR20-12345	SR20-12345		Related Specimen ID;Related Specimen Relationship Type	PH_RELATED_PRIMARY_ID		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001131	IRIDA sample name	irida_sample_name	Nom de l’échantillon IRIDA	WhitespaceMinimizedString										The identifier assigned to a sequenced isolate in IRIDA.	Identifiant attribué à un isolat séquencé dans IRIDA	Store the IRIDA sample name. The IRIDA sample name will be created by the individual entering data into the IRIDA platform. IRIDA samples may be linked to metadata and sequence data, or just metadata alone. It is recommended that the IRIDA sample name be the same as, or contain, the specimen collector sample ID for better traceability. It is also recommended that the IRIDA sample name mirror the GISAID accession. IRIDA sample names cannot contain slashes. Slashes should be replaced by underscores. See IRIDA documentation for more information regarding special characters (https://irida.corefacility.ca/documentation/user/user/samples/#adding-a-new-sample). 	Enregistrez le nom de l’échantillon IRIDA, lequel sera créé par la personne saisissant les données dans la plateforme connexe. Les échantillons IRIDA peuvent être liés à des métadonnées et à des données de séquence, ou simplement à des métadonnées. Il est recommandé que le nom de l’échantillon IRIDA soit identique ou contienne l’ID de l’échantillon du collecteur pour assurer une meilleure traçabilité. Il est également recommandé que le nom de l’échantillon IRIDA reflète l’accès à GISAID. Les noms d’échantillons IRIDA ne peuvent pas contenir de barres obliques. Celles-ci doivent être remplacées par des traits de soulignement. Consultez la documentation IRIDA pour en savoir plus sur les caractères spéciaux (https://irida.corefacility.ca/documentation/user/user/samples/#adding-a-new-sample).	prov_rona_99	prov_rona_99			IRIDA sample name		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001133	umbrella bioproject accession	umbrella_bioproject_accession	Numéro d’accès au bioprojet cadre	UmbrellaBioprojectAccessionMenu									{UPPER_CASE}	The INSDC accession number assigned to the umbrella BioProject for the Canadian SARS-CoV-2 sequencing effort.	Numéro d’accès à INSDC attribué au bioprojet cadre pour l’effort canadien de séquençage du SRAS-CoV-2	Store the umbrella BioProject accession by selecting it from the picklist in the template. The umbrella BioProject accession will be identical for all CanCOGen submitters. Different provinces will have their own BioProjects, however these BioProjects will be linked under one umbrella BioProject.	Enregistrez le numéro d’accès au bioprojet cadre en le sélectionnant à partir de la liste déroulante du modèle. Ce numéro sera identique pour tous les soumissionnaires du RCanGéCO. Différentes provinces auront leurs propres bioprojets, mais ces derniers seront liés sous un seul bioprojet cadre.	PRJNA623807	PRJNA623807			umbrella bioproject accession		
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001136	bioproject accession	bioproject_accession	Numéro d’accès au bioprojet	WhitespaceMinimizedString									{UPPER_CASE}	The INSDC accession number of the BioProject(s) to which the BioSample belongs.	Numéro d’accès à INSDC du bioprojet auquel appartient un échantillon biologique	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project. 	Enregistrez le numéro d’accès au bioprojet. Les bioprojets sont un outil d’organisation qui relie les données de séquence brutes, les assemblages et leurs métadonnées associées. Chaque province se verra attribuer un numéro d’accès différent au bioprojet par le Laboratoire national de microbiologie. Un numéro d’accès valide au bioprojet du NCBI contient le préfixe PRJN (p. ex., PRJNA12345); il est créé une fois au début d’un nouveau projet de séquençage.	PRJNA608651	PRJNA608651		BioProject Accession	PH_BIOPROJECT_ACCESSION	bioproject_accession	
	Database Identifiers	Identificateurs de base de données	GENEPIO:0001139	biosample accession	biosample_accession	Numéro d’accès à un échantillon biologique	WhitespaceMinimizedString									{UPPER_CASE}	The identifier assigned to a BioSample in INSDC archives.	Identifiant attribué à un échantillon biologique dans les archives INSDC	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN.	Conservez le numéro d’accès renvoyé avec la soumission d’un échantillon biologique. Les échantillons biologiques de NCBI seront assortis du SAMN.	SAMN14180202	SAMN14180202		BioSample Accession	PH_BIOSAMPLE_ACCESSION		
