class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_BIOSAMPLE	EXPORT_NCBI_BIOSAMPLE_Enterics	EXPORT_NCBI_ANTIBIOGRAM	EXPORT_ENA_ANTIBIOGRAM						
GRDISample		GENEPIO:0001150	Sample collection and processing																								
	Sample collection and processing	GENEPIO:0001123	sample_collector_sample_ID	sample_collector_sample_id	WhitespaceMinimizedString		TRUE		TRUE						The user-defined name for the sample.	The sample_ID should represent the identifier assigned to the sample at time of collection, for which all the descriptive information applies. If the original sample_ID is unknown or cannot be provided, leave blank or provide a null value.	ABCD123	sample_name	sample_name	sample_name/biosample_accession							
	Sample collection and processing	GENEPIO:0100427	alternative_sample_ID	alternative_sample_id	WhitespaceMinimizedString				TRUE						An alternative sample_ID assigned to the sample by another organization.	"""Alternative identifiers assigned to the sample should be tracked along with original IDs to establish chain of custody. Alternative sample IDs should be provided in the in a prescribed format which consists of the ID followed by square brackets (no space in between the ID and bracket) containing the short form of ID provider’s agency name i.e. ID[short organization code]. Agency short forms include the following:
Public Health Agency of Canada: PHAC
Canadian Food Inspection Agency: CFIA
Agriculture and Agri-Food Canada: AAFC
Fisheries and Oceans Canada: DFO
Environment and Climate Change Canada: ECCC
Health Canada: HC 
Multiple identifiers can be provided and separated by semi-colons. If the information is unknown or cannot be provided, leave blank or provide a null value."""	ABCD1234[PHAC]; 12345rev[CFIA]										
	Sample collection and processing	GENEPIO:0001153	sample_collected_by	sample_collected_by	SampleCollectedByMenu	NullValueMenu			TRUE						The name of the agency, organization or institution with which the sample collector is affiliated.	Provide the name of the agency, organization or institution that collected the sample in full (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Public Health Agency of Canada (PHAC) [GENEPIO:0100551]	collected_by	collected_by								
	Sample collection and processing	GENEPIO:0100428	sample_collected_by_laboratory_name	sample_collected_by_laboratory_name	WhitespaceMinimizedString										The specific laboratory affiliation of the sample collector.	Provide the name of the specific laboratory that collected the sample (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Topp Lab										
	Sample collection and processing	GENEPIO:0100429	sample_collection_project_name	sample_collection_project_name	WhitespaceMinimizedString										The name of the project/initiative/program for which the sample was collected.	Provide the name of the project and/or the project ID here. If the information is unknown or cannot be provided, leave blank or provide a null value.	Watershed Project (HA-120)		project_name								
	Sample collection and processing	GENEPIO:0100430	sample_plan_name	sample_plan_name	WhitespaceMinimizedString					TRUE					The name of the study design for a surveillance project.	Provide the name of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.	National Microbiological Baseline Study in Broiler Chicken										
	Sample collection and processing	GENEPIO:0100431	sample_plan_ID	sample_plan_id	WhitespaceMinimizedString					TRUE					The identifier of the study design for a surveillance project.	Provide the identifier of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.	2001_M205										
	Sample collection and processing	GENEPIO:0100432	sample_collector_contact_name	sample_collector_contact_name	WhitespaceMinimizedString										The name or job title of the contact responsible for follow-up regarding the sample.	Provide the name of an individual or their job title. As personnel turnover may render the contact's name obsolete, it is more preferable to provide a job title for ensuring accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	Enterics Lab Manager										
	Sample collection and processing	GENEPIO:0001156	sample_collector_contact_email	sample_collector_contact_email	WhitespaceMinimizedString	NullValueMenu			TRUE						The email address of the contact responsible for follow-up regarding the sample.	Provide the email associated with the listed contact. As personnel turnover may render an individual's email obsolete, it is more preferable to provide an address for a position or lab, to ensure accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	johnnyblogs@lab.ca										
