title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	
									
null value	NullValueMenu	GENEPIO:0001619	Not Applicable [GENEPIO:0001619]					A categorical choice recorded when a datum does not apply to a given context.	
		GENEPIO:0001618	Missing [GENEPIO:0001618]					A categorical choice recorded when a datum is not included for an unknown reason.	
		GENEPIO:0001620	Not Collected [GENEPIO:0001620]					A categorical choice recorded when a datum was not measured or collected.	
		GENEPIO:0001668	Not Provided [GENEPIO:0001668]					A categorical choice recorded when a datum was collected but is not currently provided in the information being shared. This value indicates the information may be shared at the later stage.	
		GENEPIO:0001810	Restricted Access [GENEPIO:0001810]					A categorical choice recorded when a given datum is available but not shared publicly because of information privacy concerns.	
									
organism menu	OrganismMenu	NCBITaxon:11320	Influenza A virus [NCBITaxon:11320]						
									
influenza_subtype menu	InfluenzaSubtypeMenu	NCBITaxon:102793	H5N1 subtype (Influenza A virus) [NCBITaxon:102793]						
									
influenza_subtyping_scheme_name menu	InfluenzaSubtypingSchemeNameMenu	GENEPIO:0101121	Tripartite Influenza A scheme [GENEPIO:0101121]						Tripartite Influenza A scheme (A/goose/Guangdong/1/96-like viruses) [GENEPIO:0101121]
		GENEPIO:0101122	USDA GenoFLU scheme [GENEPIO:0101122]						USDA GenoFLU scheme (8 segment eurasian/american genotypes) [GENEPIO:0101122]
									
taxonomic_identification_process menu	TaxonomicIdentificationProcessMenu	OBI:0002117	Whole genome sequencing assay [OBI:0002117]					A DNA sequencing assay that intends to provide information about the sequence of an entire genome of an organism.	
		OBI:0002623	Whole metagenome sequencing assay [OBI:0002623]					A DNA sequencing assay that intends to provide information on the DNA sequences of multiple genomes (a metagenome) from different organisms present in the same input sample.	
		OBI:0002763	16S ribosomal gene sequencing assay [OBI:0002763]					An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.	
		OBI:0002740	PCR assay [OBI:0002740]					An organism identification assay that is based on PCR.	
		OBI:0001546	Comparative phenotypic assessment [OBI:0001546]					Interpreting data from assays that evaluate the qualities or dispositions inhering in an organism or organism part and comparing it to data from other organisms to make a conclusion about a phenotypic difference	
									
sample_collection_time_of_day menu	SampleCollectionTimeOfDayMenu	NCIT:C64934	Morning [NCIT:C64934]					The time period between dawn and noon.	
		NCIT:C64935	Afternoon [NCIT:C64935]					The time period between noon and sunset.	
		NCIT:C64936	Evening [NCIT:C64936]					The time period between late afternoon and bedtime.	
		NCIT:C65001	Night [NCIT:C65001]					The time in every 24 hour period when it is dark.	
									
sample_collection_duration_unit menu	SampleCollectionDurationUnitMenu	UO:0000010	Second [UO:0000010]					A time unit which is equal to the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom.	
		UO:0000031	Minute [UO:0000031]					A time unit which is equal to 60 seconds.	
		UO:0000032	Hour [UO:0000032]					A time unit which is equal to 60 minutes.	
		UO:0000033	Day [UO:0000033]					A time unit which is equal to 24 hours.	
		UO:0000034	Week [UO:0000034]					A time unit which is equal to 7 days.	
		UO:0000035	Month [UO:0000035]					A time unit which is equal to approximately 4-4.5 weeks or 28-31 days.	
		UO:0000036	Year [UO:0000036]					A time unit which is equal to 365 days, or 366 days during a leap year.	
									
									
food_product menu	FoodProductMenu	ENVO:02000047	Animal feed [ENVO:02000047]					Food material which can be used to meet nutritional requirements of animals, particularly livestock such as cattle, goats, sheep, horses, chickens and pigs.	
		FOODON:00001564		Blood meal [FOODON:00001564]				Blood meal is a dry, inert powder made from blood used as a high-nitrogen organic fertilizer and a high protein animal feed.	
		ENVO:02000054		Bone meal [ENVO:02000054]				A mixture of crushed and coarsely ground bones that is used as an organic fertilizer for plants and formerly in animal feed.	
		FOODON:00004310		Brassica carinata meal [FOODON:00004310]				A meal that is a co-product produced after the extraction of oil from the seed of the Ethiopian mustard plant (Brassica carinata).	
		FOODON:00002694		Canola meal [FOODON:00002694]				Canola meal is an oilseed meal made from canola grain. Canola meal is a by-product of the oil crushing process.	
		FOODON:00004323		Compound feed premix [FOODON:00004323]				A formula mixture of micronutrients that is used as a component in compound feed.	
		FOODON:00004324			Compound feed premix (medicated) [FOODON:00004324]			A compound feed premix in which medicinal substance has been added.	
		FOODON:00003927		Feather meal [FOODON:00003927]				A by product of processing poultry which is made from poultry feathers by partially grinding them under elevated heat and pressure, and then grinding and drying.	
		FOODON:03301620		Fish meal [FOODON:03301620]				Fish meal is primarily used as a protein supplement in compound feed. As of 2010, about 56% of fish meal was used to feed farmed fish, about 20% was used in pig feed, about 12% in poultry feed, and about 12% in other uses, which included fertilizer.	
		FOODON:00004286		Lay ration [FOODON:00004286]				Food formulated for the laying hens to increase egg production and egg shell quality.	
		FOODON:00002738		Meat and bone meal [FOODON:00002738]				Meat and bone meal (MBM) is a product of the rendering industry. It is typically about 48–52% protein, 33–35% ash, 8–12% fat, and 4–7% water. It is primarily used in the formulation of animal feed to improve the amino acid profile of the feed.	
		FOODON:00004282		Meat meal [FOODON:00004282]				A meal that is obtained by cooking, defatting, sterilizing, grinding, and sifting by-products of an animal.	
		FOODON:00002682		Pet food [FOODON:00002682]				Pet food is plant or animal material intended for consumption by pets.	
		FOODON:03302757		Soybean meal [FOODON:03302757]				A type of ground protein-rich residue from the production of soybean oil used chiefly in animal feeds, in adhesives and plastics, in making synthetic protein fibers, and in fermentation media (as for the production of antibiotics).	
		FOODON:00004322	Animal feed ingredient [FOODON:00004322]					An ingredient that is used in the preparation of animal feed.	
		FOODON:00001256	Dairy food product [FOODON:00001256]					A dairy food product has mammilian milk or a milk component as an ingredient.	
		FOODON:03000287		Cheese block (whole or parts) [FOODON:03000287]				A whole cheese block or some substance made from a block of processed cheese.	
		FOODON:03310016		Cow skim milk (powdered) [FOODON:03310016]				Milk powder that is obtained by removing all of the water from pasteurized skim milk.	
		UBERON:0001913		Milk [UBERON:0001913]				An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.	
			Meat, poultry and fish (organizational term)						
		FOODON:00001282		Beef (ground or minced) [FOODON:00001282]				A ground beef product is made of beef that has been finely chopped with a knife or a meat grinder (American English) or mincing machine (British English). Ground beef is used in many recipes including hamburgers and spaghetti Bolognese.	
		FOODON:03000412			Beef (ground or minced, boneless) [FOODON:03000412]				
		FOODON:03000398			Beef (ground or minced, extra lean) [FOODON:03000398]				
		FOODON:03000394			Beef (ground or minced, lean) [FOODON:03000394]				
		FOODON:03000402			Beef (ground or minced, medium) [FOODON:03000402]				
		FOODON:03000406			Beef (ground or minced, regular) [FOODON:03000406]				
		FOODON:03000408			Beef (ground or minced, sirloin) [FOODON:03000408]				
		FOODON:00002737		Beef hamburger (dish) [FOODON:00002737]				A hamburger (short: burger) is a sandwich consisting of one or more cooked patties of ground meat, usually beef, placed inside a sliced bread roll or bun. The patty may be pan fried, grilled, or flame broiled.	
		FOODON:03000377		Beef shoulder [FOODON:03000377]					
		FOODON:03000387			Beef shoulder chop [FOODON:03000387]			Meat chop from the shoulder region of beef.	
		FOODON:03000389		Beef sirloin chop [FOODON:03000389]				Meat chop from the sirloin region of beef	
		FOODON:00004288		Beef stew chunk [FOODON:00004288]				A chunk of beef used as an ingredient in making stew.	
		FOODON:00003302		Beef tenderloin [FOODON:00003302]				A cut of beef corresponding to the psoas major muscle, which is very tender.	
		FOODON:03000333		Beef (whole cut or parts) [FOODON:03000333]					
		FOODON:03530020		Brisket [FOODON:03530020]				A cut of meat from the breast or lower chest of beef or veal.	
		FOODON:00002703		Chicken breast [FOODON:00002703]				Chicken breast consists mainly of the breast meat portion of a chicken, and may or may not include connected bone (boneless versus "with bone") and skin.	
		FOODON:03000385			Chicken breast (back off) [FOODON:03000385]			A chicken breast with its backbone removed.	
		FOODON:00003332			Chicken breast (skinless) [FOODON:00003332]				
		FOODON:03000374			Chicken breast (with skin) [FOODON:03000374]				
		FOODON:00003364			Chicken breast (skinless, boneless) [FOODON:00003364]				
		FOODON:00004308			Chicken breast cutlet [FOODON:00004308]			A cutlet made from chicken breast.	
		FOODON:00002716		Chicken drumstick [FOODON:00002716]				The segment of a chicken's leg between the thigh and tarsus (ankle).	
		FOODON:03000366			Chicken drumstick (skinless) [FOODON:03000366]				
		FOODON:03000368			Chicken drumstick (with skin) [FOODON:03000368]				
		FOODON:00001040		Chicken meat [FOODON:00001040]					
		FOODON:03311826			Chicken meat (ground or minced) [FOODON:03311826]			A food product made of ground or minced chicken meat.	
		FOODON:03000392				Chicken meat (ground or minced, lean) [FOODON:03000392]		A food product made of lean, ground or minced chicken meat.	
		FOODON:03000396				Chicken meat (ground or minced, extra lean) [FOODON:03000396]		A food product made of extra lean, ground or minced chicken meat.	
		FOODON:03000400				Chicken meat (ground or minced, medium) [FOODON:03000400]		A food product made of medium, ground or minced chicken meat.	
		FOODON:03000404				Chicken meat (ground or minced, regular) [FOODON:03000404]		A food product made of regular, ground or minced chicken meat.	
		FOODON:03000410				Chicken meat (ground or minced, boneless) [FOODON:03000410]			
		FOODON:00002672		Chicken nugget [FOODON:00002672]				A chicken nugget is a chicken product made from chicken meat that is breaded or battered, then deep-fried or baked.	
		FOODON:02020219		Chicken thigh  [FOODON:02020219]				A whole thigh that derives from a chicken.	
		FOODON:00003331			Chicken thigh (skinless) [FOODON:00003331]			A chicken thigh after the skin has been removed.	
		FOODON:02020227			Chicken thigh (skinless, with bone) [FOODON:02020227]			A chicken thigh that is skinless and contains bone element.	
		FOODON:03000417			Chicken thigh (skinless, boneless) [FOODON:03000417]				
		FOODON:03000381				Chicken upper thigh [FOODON:03000381]		Meat from the upper thigh of a chicken.	
		FOODON:00003330			Chicken thigh (with skin) [FOODON:00003330]				
		FOODON:00003363			Chicken thigh (with skin, with bone) [FOODON_00003363]			A chicken thigh that contains skin and bone material.	
		FOODON:00002674		Chicken wing [FOODON:00002674]				A whole wing that derives from a chicken.	
		FOODON:00001248		Fish food product [FOODON:00001248]				A fish food product includes products made from any fish species (aquatic vertebrate with gills and fins).	
		FOODON:00002986			Fish steak [FOODON:00002986]			A fish steak, alternatively known as a fish cutlet, is a cut of fish which is cut perpendicular to the spine and can either include the bones or be boneless.	
		FOODON:00002502		Ham food product [FOODON:00002502]				Ham is pork from a leg cut that has been preserved by wet or dry curing, with or without smoking. As a processed meat, the term "ham" includes both whole cuts of meat and ones that have been mechanically formed.	
		FOODON:03315658		Head cheese [FOODON:03315658]				Head cheese is a cold cut that originated in Europe. Head cheese is not a dairy cheese, but a terrine or meat jelly made with flesh from the head of a calf or pig, or less commonly a sheep or cow, and often set in aspic. A version pickled with vinegar is known as souse.	
		FOODON:03411669		Lamb [FOODON:03411669]				A whole lamb or some material processed from a lamb.	
		FOODON:00004285		Meat strip [FOODON:00004285]				A cut of meat which is long, narrow and boneless.	
		FOODON:00002912		Mutton [FOODON:00002912]				The meat of an adult sheep is mutton, a term only used for the meat, not the living animals.	
		FOODON:00001049		Pork chop [FOODON:00001049]				A cut of meat (a meat chop) cut perpendicularly to the spine of the pig and usually containing a rib or part of a vertebra, served as an individual portion.	
		FOODON:03309969		Pork meat (ground or minced) [FOODON:03309969]				Meat from a pig that has been ground or minced.	
		FOODON:03000413			Pork meat (ground or minced, boneless) [FOODON:03000413]				
		FOODON:03000399			Pork meat (ground or minced, extra lean) [FOODON:03000399]			A food product made of extra-lean, ground or minced pork meat.	
		FOODON:03000395			Pork meat (ground or minced, lean) [FOODON:03000395]			A food product made of lean, ground or minced pork meat.	
		FOODON:03000403			Pork meat (ground or minced, medium) [FOODON:03000403]			A food product made of medium, ground or minced pork meat.	
		FOODON:03000407			Pork meat (ground or minced, regular) [FOODON:03000407]			A food product made of regular, ground or minced pork meat.	
		FOODON:03000409			Pork meat (ground or minced, Sirloin) [FOODON:03000409]			Ground or minced pork meat that comes from the sirloin region.	
		FOODON:03000376		Pork shoulder [FOODON:03000376]					
		FOODON:03000388			Pork shoulder chop [FOODON:03000388]			Meat chop from the blade roast of pork.	
		FOODON:03000390		Pork sirloin chop [FOODON:03000390]					
		FOODON:00003148		Pork steak [FOODON:00003148]					
		FOODON:03000416		Pork tenderloin [FOODON:03000416]					
		FOODON:03315883		Poultry meat [FOODON:03315883]				Any meat from one or more poultry birds.	
		FOODON:03530159			Leg (poultry meat cut) [FOODON:03530159]			The leg cut of a poultry bird.	
		FOODON:00003469				Poultry drumstick [FOODON:00003469]		The calf part of a poultry hindleg (hindlimb zeugopod)	
		FOODON:03530294			Neck (poultry meat cut) [FOODON:03530294]			The neck cut of a poultry bird.	
		FOODON:03530160			Thigh (poultry meat cut) [FOODON:03530160]			The thigh cut of a poultry bird.	
		FOODON:03530157			Wing (poultry meat cut) [FOODON:03530157]			The wing cut of a poultry bird.	
		FOODON:03315904		Sausage (whole) [FOODON:03315904]				A food product that is highly seasoned minced meat and is encased in a skin in the shape of a cylinder.	
		FOODON:03311003			Pepperoni [FOODON:03311003]			A highly seasoned and spicy beef or pork sausage.	
		FOODON:03312067			Salami [FOODON:03312067]			A cured sausage which consists of fermented and air-dried meat, typically pork.	
		FOODON:03411433		Shellfish [FOODON:03411433]				The term shellfish is used both broadly and specifically. For regulatory purposes it is often narrowly defined as filter-feeding molluscs such as clams, mussels, and oyster to the exclusion of crustaceans and all else. Although their shells may differ, all shellfish are invertebrates.	
		FOODON:03301673			Shrimp [FOODON:03301673]			A whole shrimp or some material processed from a shrimp.	
		FOODON:03411489			Scallop [FOODON:03411489]				
		FOODON:00002690		Turkey breast [FOODON:00002690]				Turkey breast consists mainly of the breast meat portion of a turkey, and may or may not include connected bone ("deboned or boneless versus bone-in") and skin.	
		FOODON:03000386			Turkey breast (back off) [FOODON:03000386]			A turkey breast with its backbone removed.	
		FOODON:03000372			Turkey breast (skinless) [FOODON:03000372]				
		FOODON:03000373			Turkey breast (skinless, boneless) [FOODON:03000373]				
		FOODON:03000375			Turkey breast (with skin) [FOODON:03000375]				
		FOODON:03000365		Turkey drumstick [FOODON:03000365]					
		FOODON:03000367			Turkey drumstick (skinless) [FOODON:03000367]				
		FOODON:03000369			Turkey drumstick (with skin) [FOODON:03000369]				
		FOODON:00001286		Turkey meat [FOODON:00001286]				A turkey meat food product is any food product made predominantly of turkey parts.	
		FOODON:00002714			Turkey meat (ground or minced) [FOODON:00002714]			A food product made of ground or minced turkey meat.	
		FOODON:03000393			Turkey meat (ground or minced, lean) [FOODON:03000393]			A food product made of lean, ground or minced turkey meat.	
		FOODON:03000397			Turkey meat (ground or minced, extra lean) [FOODON:03000397]			A food product made of extra-lean, ground or minced turkey meat.	
		FOODON:03000401			Turkey meat (ground or minced, medium) [FOODON:03000401]			A food product made of medium, ground or minced turkey meat.	
		FOODON:03000405			Turkey meat (ground or minced, regular) [FOODON:03000405]			A food product made of regular, ground or minced turkey meat.	
