class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_BIOSAMPLE_Enterics	EXPORT_VirusSeq_Portal
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost		GENEPIO:0001122	Database Identifiers																				
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0001123	specimen_collector_sample_ID	specimen_collector_sample_id	WhitespaceMinimizedString		TRUE		TRUE						The user-defined name for the sample.	Store the collector sample ID. If this number is considered identifiable information, provide an alternative ID. Be sure to store the key that maps between the original and alternative IDs for traceability and follow up if necessary. Every collector sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab.	ASDFG123					sample_name	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0100752	specimen_collector_subsample_ID	specimen_collector_subsample_id	WhitespaceMinimizedString										The user-defined identifier assigned to a portion of the original sample.	Store the ID for the subsample/aliquot. 	ASDFG123_12						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0100996	pooled_sample_ID	pooled_sample_id	WhitespaceMinimizedString										The user-defined identifier assigned to a combined (pooled) set of samples.	If the sample being analyzed is the result of pooling individual samples, rename the pooled sample with a new identifier. Store the pooled sample ID.	12345AYZ						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0100760	sampling_site_ID	sampling_site_id	WhitespaceMinimizedString					TRUE					The user-defined identifier assigned to a specific location from which samples are taken.	Store the ID for the site from which a sample was taken. The "site" is user defined (e.g. it may be a building and its environs, a specific entity within an environment). Please use the same site ID for all samples from a given site, regardless of when these samples were taken. Any important changes in site location, should be represented with a new site ID.	Site 12A						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0100761	sampling_event_ID	sampling_event_id	WhitespaceMinimizedString					TRUE					The user-defined identifier assigned to a specific event during which one or more samples are taken, from one or more sites.	Store the ID for the event during which a sample or samples were taken. For example, an event could be one person taking samples from multiple sites, or multiple people taking samples from one site.	Event 120522.1						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0001136	BioProject_accession	bioproject_accession	WhitespaceMinimizedString								{UPPER_CASE}	{UPPER_CASE}	The INSDC (i.e., ENA, NCBI, or DDBJ) accession number of the BioProject(s) to which the BioSample belongs.	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project.	PRJNA608651					bioproject_accession	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0001139	BioSample_accession	biosample_accession	WhitespaceMinimizedString					TRUE			{UPPER_CASE}	{UPPER_CASE}	The identifier assigned to a BioSample in INSDC (i.e., ENA, NCBI, or DDBJ) archives.	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN, ENA have the prefix SAMEA, DDBJ have SAMD	SAMN14180202, SAMD00000001						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0101203	INSDC sequence read accession	insdc_sequence_read_accession	WhitespaceMinimizedString								{UPPER_CASE}	{UPPER_CASE}	The identifier assigned to a sequence in one of the International Nucleotide Sequence Database Collaboration (INSDC) repositories.	Store the accession assigned to the submitted sequence. European Nucleotide Archive (ENA) sequence accessions start with ERR, NCBI-SRA accessions start with SRR,  DNA Data Bank of Japan (DDBJ) accessions start with DRR and Genome Sequence Archive (GSA) accessions start with CRR.	ERR123456, DRR123456, CRR123456						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Database identifiers	GENEPIO:0101204	INSDC assembly accession	insdc_assembly_accession	WhitespaceMinimizedString								{UPPER_CASE}	{UPPER_CASE}	The versioned identifier assigned to an assembly or consensus sequence in  one of the International Nucleotide Sequence Database Collaboration (INSDC) repositories.	Store the versioned accession assigned to the submitted sequence e.g. the GenBank accession version.	LZ986655.1						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost		GENEPIO:0001150	Sample collection and processing																				
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0100762	sample_collection_data_steward_name	sample_collection_data_steward_name	WhitespaceMinimizedString										The name of the individual responsible for the data governance, (meta)data usage and distribution of the sample.	Provide the name of the sample collection data steward.	Joe Bloggs						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0101107	sample_collection_data_steward_contact_email	sample_collection_data_steward_contact_email	WhitespaceMinimizedString										The email address of the individual responsible for the data governance, (meta)data usage and distribution of the sample.	Provide the email address of the sample collection data steward. This may or may not be the same individual/organization that collected the sample. If the contact is the same, provide the same address as the "sample collector contact email".	bloggsj@aglab.ca						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001153	sample_collected_by	sample_collected_by	WhitespaceMinimizedString	NullValueMenu			TRUE						The name of the organization with which the sample collector is affiliated.	The name of the agency should be written out in full, (with minor exceptions) and be consistent across multiple submissions.	Public Health Agency of Canada					collected_by	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001156	sample_collector_contact_email	sample_collector_contact_email	WhitespaceMinimizedString								^\S+@\S+\.\S+$		The email address of the contact responsible for follow-up regarding the sample.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	WaterTester@facility.ca						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001181	geo_loc_name_(country)	geo_loc_name_country	GeoLocNameCountryMenu	NullValueMenu			TRUE						The country of origin of the sample.	If known, select a value from the pick list.	Canada					geo_loc_name	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001185	geo_loc_name_(state/province/territory)	geo_loc_name_state_province_territory	WhitespaceMinimizedString	NullValueMenu			TRUE						The state/province/territory of origin of the sample.	Provide the state/province/territory name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/ga	Western Cape					geo_loc_name	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0100280	geo_loc_name_(county/region)	geo_loc_name_county_region	WhitespaceMinimizedString										The county/region of origin of the sample.	Provide the county/region name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/gaz	Derbyshire						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001189	geo_loc_name_(city)	geo_loc_name_city	WhitespaceMinimizedString										The city of origin of the sample.	Provide the city name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/gaz	Vancouver						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0100436	geo_loc_name_(site)	geo_loc_name_site	WhitespaceMinimizedString										The name of a specific geographical location e.g. Credit River (rather than river).	Provide the name of the specific geographical site using a specific noun (a word that names a certain place, thing).	Credit River						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0100309	geo_loc_latitude	geo_loc_latitude	WhitespaceMinimizedString										The latitude coordinates of the geographical location of sample collection.	Provide latitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees latitude in format "d[d.dddd] N|S".	38.98 N					lat_lon	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0100310	geo_loc_longitude	geo_loc_longitude	WhitespaceMinimizedString										The longitude coordinates of the geographical location of sample collection.	Provide longitude coordinates if available. Do not use the centre of the city/region/province/state/country or the location of your agency as a proxy, as this implicates a real location and is misleading. Specify as degrees longitude in format "d[dd.dddd] W|E".	77.11 W					lat_lon	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001191	organism	organism	OrganismMenu	NullValueMenu		TRUE	TRUE						Taxonomic name of the organism.	Provide the official nomenclature for the organism(s) present in the sample. Multiple organisms can be entered, separated by semicolons. Avoid abbreviations. Search for taxonomic names here: ncbi.nlm.nih.gov/taxonomy.	Vibrio cholerae					organism	
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0101108	influenza_subtype	influenza_subtype	InfluenzaSubtypeMenu			TRUE	TRUE														
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0101109	influenza_subtyping_scheme_name	influenza_subtyping_scheme_name	InfluenzaSubtypingSchemeNameMenu																		
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0100583	taxonomic_identification_process	taxonomic_identification_process	TaxonomicIdentificationProcessMenu																		
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0101110	virus_identifier	virus_identifier	WhitespaceMinimizedString																		
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0101111	WHO/OIE/FAO_H5_clade	who_oie_fao_h5_clade	WhitespaceMinimizedString																		
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001174	sample_collection_date	sample_collection_date	date	NullValueMenu			TRUE			{today}			The date on which the sample was collected, or sampling began for a continuous sample.	If your sample is a continuous sample please use this field to capture your start date. Sample collection date is critical for surveillance and many types of analyses. Required granularity includes year, month and day. The date should be provided in ISO 8601 standard format "YYYY-MM-DD".	2020-03-16					collection_date	
HPAI;HPAIWW;HPAIEnviro	Sample collection and processing	GENEPIO:0101071	sample_collection_end_date	sample_collection_end_date	date	NullValueMenu				TRUE	{sample_collection_date}	{today}			The date on which sample collection ended for a continuous sample.	Provide the date that sample collection ended in ISO 8601 format i.e. YYYY-MM-DD	2020-03-18						
HPAI;HPAIWW;HPAIEnviro	Sample collection and processing	GENEPIO:0101072	sample_collection_start_time	sample_collection_start_time	time	NullValueMenu				TRUE					The time at which sample collection began.	Provide this time in ISO 8601 24hr format, in your local time.	17:15 PST						
HPAI;HPAIWW;HPAIEnviro	Sample collection and processing	GENEPIO:0101073	sample_collection_end_time	sample_collection_end_time	time	NullValueMenu				TRUE					The time at which sample collection ended.	Provide this time in ISO 8601 24hr format, in your local time.	19:15 PST						
HPAI;HPAIWW;HPAIEnviro	Sample collection and processing	GENEPIO:0100765	sample_collection_time_of_day	sample_collection_time_of_day	SampleCollectionTimeOfDayMenu	NullValueMenu									The descriptive time of day during which the sample was collected.	If known, select a value from the pick list. The time of sample processing matters especially for grab samples, as fecal concentration in wastewater fluctuates over the course of the day.	Morning						
HPAI;HPAIWW;HPAIEnviro	Sample collection and processing	GENEPIO:0100766	sample_collection_time_duration_value	sample_collection_time_duration_value	WhitespaceMinimizedString	NullValueMenu				TRUE					The amount of time over which the sample was collected.	Provide the numerical value of time.	4						
HPAI;HPAIWW;HPAIEnviro	Sample collection and processing	GENEPIO:0100767	sample_collection_time_duration_unit	sample_collection_time_duration_unit	SampleCollectionDurationUnitMenu	NullValueMenu				TRUE					The units of the time duration measurement of sample collection.	Provide the units from the pick list.	Hour						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0001179	sample received date	sample_received_date	date	NullValueMenu						{today}			The date on which the sample was received.	Provide the sample received date in ISO 8601 format, i.e. "YYYY-MM-DD".	2020-03-28						
HPAI;HPAIFood;HPAIWW;HPAIEnviro;HPAIHost	Sample collection and processing	GENEPIO:0100763	sample processing date	sample_processing_date	date	NullValueMenu						{today}			The date on which the sample was processed.	Provide the sample processed date in ISO 8601 format, i.e. "YYYY-MM-DD". The sample may be collected and processed (e.g. filtered, extraction) on the same day, or on different dates.	2020-03-16						
HPAI;HPAIHost	Sample collection and processing	GENEPIO:0100438	host_origin_geo_loc_name (country)	host_origin_geo_loc_name_country	GeoLocNameCountryMenu	NullValueMenu									The country of origin of the host.	If a sample is from a human or animal host that originated from outside of Canada, provide the the name of the country where the host originated by selecting a value from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	South Africa [GAZ:00001094]						
