class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GISAID	EXPORT_NCBI_BIOSAMPLE_SARS_COV_2_WWS	EXPORT_NCBI_BIOSAMPLE	EXPORT_NCBI_SRA	EXPORT_ENA_GSC_MIxS_WW_ERC00023	EXPORT_ENA_SEWAGE_ERC00036	EXPORT_iMicroSeq_Portal
iMicroSeq	Database identifiers	GENEPIO:0001123	specimen collector sample ID	specimen_collector_sample_id	WhitespaceMinimizedString	NullValueMenu	TRUE		TRUE						The user-defined name for the sample.	Store the collector sample ID. If this number is considered identifiable information, provide an alternative ID. Be sure to store the key that maps between the original and alternative IDs for traceability and follow up if necessary. Every collector sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab.	ASDFG123	Sample ID given by the sample provider	sample_name	sample_name	sample_name	source material identifiers		specimen collector sample ID
iMicroSeq	Database identifiers	GENEPIO:0100760	sampling site ID	sampling_site_id	WhitespaceMinimizedString	NullValueMenu				TRUE					The user-defined identifier assigned to a specific location from which samples are taken.	Store the ID for the site from which a sample was taken. The "site" is user defined (e.g. it may be a building and its environs, a specific entity within an environment). Please use the same site ID for all samples from a given site, regardless of when these samples were taken. Any important changes in site location, should be represented with a new site ID.	Site 12A			collection_site_id			name of the sampling site	
iMicroSeq	Database identifiers	GENEPIO:0100761	sampling event ID	sampling_event_id	WhitespaceMinimizedString	NullValueMenu				TRUE					The user-defined identifier assigned to a specific event during which one or more samples are taken, from one or more sites.	Store the ID for the event during which a sample or samples were taken. For example, an event could be one person taking samples from multiple sites, or multiple people taking samples from one site.	Event 120522.1							
iMicroSeq	Database identifiers	GENEPIO:0001136	INSDC Project accession	insdc_project_accession	WhitespaceMinimizedString	NullValueMenu								{UPPER_CASE}	The INSDC (i.e., ENA, NCBI, or DDBJ) accession number of the Project(s) to which the Sample belongs.	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project.	PRJNA608651		bioproject_accession	bioproject_accession				
iMicroSeq	Database identifiers	GENEPIO:0001139	INSDC Sample accession	insdc_sample_accession	WhitespaceMinimizedString	NullValueMenu				TRUE				{UPPER_CASE}	The identifier assigned to a Sample in INSDC (i.e., ENA, NCBI, or DDBJ) archives.	Store the accession returned from the Sample submission. NCBI BioSamples will have the prefix SAMN, ENA have the prefix SAMEA, DDBJ have SAMD	SAMN14180202, SAMEA00000002, SAMD00000001							
iMicroSeq	Database identifiers	GENEPIO:0101203	INSDC sequence read accession	insdc_sequence_read_accession	WhitespaceMinimizedString	NullValueMenu								{UPPER_CASE}	The identifier assigned to a sequence in one of the International Nucleotide Sequence Database Collaboration (INSDC) repositories.	Store the accession assigned to the submitted sequence. European Nucleotide Archive (ENA) sequence accessions start with ERR, NCBI-SRA accessions start with SRR, DNA Data Bank of Japan (DDBJ) accessions start with DRR and Genome Sequence Archive (GSA) accessions start with CRR.	ERR123456, DRR123456, CRR123456							
iMicroSeq	Sample collection	GENEPIO:0100429	sample collection project name	sample_collection_project_name	WhitespaceMinimizedString	NullValueMenu									The name of the project/initiative/program for which the sample was collected.	Provide the name of the project and/or the project ID here. If the information is unknown or cannot be provided, leave blank or provide a null value.	Watershed Project (HA-120)		project_name					
iMicroSeq		GENEPIO:0102221	data steward contact name	data_steward_contact_name	WhitespaceMinimizedString	NullValueMenu			TRUE						The name of the individual responsible for the data governance, (meta)data usage and distribution of the data.	Provide the name of the data steward.	Joe Bloggs							
iMicroSeq		GENEPIO:0102222	data steward contact email	data_steward_contact_email	WhitespaceMinimizedString	NullValueMenu			TRUE						The email address of the individual responsible for the data governance, (meta)data usage and distribution of the data.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	WaterTester@facility.ca							
iMicroSeq	Sample collection	GENEPIO:0001191	organism	organism	WhitespaceMinimizedString	NullValueMenu		TRUE	TRUE						Taxonomic name of the organism.	Provide the official nomenclature for the organism(s) present in the sample. Multiple organisms can be entered, separated by semicolons. Avoid abbreviations. Search for taxonomic names here: ncbi.nlm.nih.gov/taxonomy.	Severe acute respiratory syndrome coronavirus 2						surveillance target	organism
iMicroSeq	Taxonomic identification information	GENEPIO:0100583	taxonomic identification process	taxonomic_identification_process	TaxonomicIdentificationProcessMenu	NullValueMenu									The type of planned process by which an organismal entity is associated with a taxon or taxa.	Provide the type of method used to determine the taxonomic identity of the organism by selecting a value from the pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	PCR assay [OBI:0002740]							
iMicroSeq	Sample collection	GENEPIO:0001198	purpose of sampling	purpose_of_sampling	PurposeOfSamplingMenu	NullValueMenu		TRUE	TRUE						The reason that the sample was collected.	The reason a sample was collected may provide information about potential biases in sampling strategy. Provide the purpose of sampling from the picklist in the template. Most likely, the sample was collected for Public health surveillance. The reason why a sample was originally collected may differ from the reason why it was selected for sequencing, which should be indicated in the "purpose of sequencing" field.	Baseline surveillance (random sampling) [GENEPIO:0100005]		purpose_of_ww_sampling;description	purpose_of_ww_sampling				purpose of sampling
iMicroSeq	Sample collection	GENEPIO:0001153	sample collected by organisation name	sample_collected_by_organisation_name	WhitespaceMinimizedString	NullValueMenu			TRUE						The name of the organization with which the sample collector is affiliated.	The name of the agency should be written out in full, (with minor exceptions) and be consistent across multiple submissions.	Public Health Agency of Canada	Originating lab	collected_by	collected_by				sample collected by
