name	title	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	EXPORT_SOMEWHERE
NullValueMenu	null value menu							A menu of data collection status options for this field.	
		GENEPIO:0001619	Not Applicable						
		GENEPIO:0001618	Missing						
		GENEPIO:0001620	Not Collected						
		GENEPIO:0001668	Not Provided						
		GENEPIO:0001810	Restricted Access						
									
SequenceSubmittedByMenu	sequence submitted by menu							A menu of analytic laboratories.	
			Alberta Precision Labs (APL)						
				Alberta ProvLab North (APLN)					
				Alberta ProvLab South (APLS)					
			BCCDC Public Health Laboratory						
			Canadore College						
			The Centre for Applied Genomics (TCAG)						
			Dynacare						
			Dynacare (Brampton)						
			Dynacare (Manitoba)						
			The Hospital for Sick Children (SickKids)						
			Laboratoire de santé publique du Québec (LSPQ)						
			Manitoba Cadham Provincial Laboratory						
			McGill University						
			McMaster University						
			National Microbiology Laboratory (NML)						
			New Brunswick - Vitalité Health Network						
			Newfoundland and Labrador - Eastern Health						
			Nova Scotia Health Authority						
			Ontario Institute for Cancer Research (OICR)						
			Prince Edward Island - Health PEI						
			Public Health Ontario (PHO)						
			Queen's University / Kingston Health Sciences Centre						
			Saskatchewan - Roy Romanow Provincial Laboratory (RRPL)						
			Sunnybrook Health Sciences Centre						
			Thunder Bay Regional Health Sciences Centre						
