title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	EXPORT_GRDI
									
SUBJECT_DESCRIPTIONS menu	SubjectDescriptionsMenu	UBERON:0000310	1/2 breast						food_product:
		FOODON:00002616	Avian Ingredients						food_product:
		PATO:0001901	Back						food_product:
		FOODON:03302184	Balut						food_product:
		FOODON:03411191	Black Pepper						food_product:
			Blade Steak						food_product:
		FOODON:00001564	Blood Meal						food_product:
		ENVO:02000054	Bone Meal						food_product:
		FOODON:03414374	Bovine Ingredients						food_product:
		UBERON:0000310	Breast						food_product:
			Breast back off						food_product:
			Breast cutlets						food_product:
		UBERON:0000310	Breast Skinless						food_product:
		UBERON:0000310	Breast Skinless Boneless						food_product:
			Breast with Skin						food_product:
		FOODON:03530020	Brisket						food_product:
		FOODON:00002737	Burger						food_product:
			Calf						host (common name):
		FOODON:00002694	Canola Meal						food_product:
		FOODON:03316468	Carinata Meal						food_product:
			Chop						food_product:
			Chops						food_product:
			coli						
		FOODON:03309997	Complete Feed						food_product:
		FOODON:00001765	Corn						food_product:
		FOODON:03411161	Cow						host (common name):
			Cubes						food_product:
		FOODON:00003001	Cutlet						food_product:
		CURATION:0001378	Drumstick						food_product:
		CURATION:0001378	Drumstick Skinless						food_product:
			Drumstick with Skin						food_product:
		CURATION:0001378	Drumsticks						food_product:
			Egg Flour						food_product:
		CURATION:0001357	Feather Meal						food_product:
		FOODON:03309997	Feed						food_product:
		FOODON:03530144	Filet						food_product:
		FOODON:03411222	Fish Ingredients						food_product:
		FOODON:03301620	Fish Meal						food_product:
		FOODON:03311095	Grain						food_product:
		FOODON:03430136	Ground						food_product:
		FOODON:03430136	Ground ( lean)						food_product:
		FOODON:03430136	Ground (Angus)						food_product:
		FOODON:03430136	Ground (Extra Lean)						food_product:
		FOODON:03430136	Ground (extra-lan)						food_product:
		FOODON:03430136	Ground (Extra-Lean)						food_product:
		FOODON:03430136	Ground (Lean)						food_product:
		FOODON:03430117	Ground (Medium)						food_product:
		FOODON:03430136	Ground (Regular)						food_product:
		CURATION:0001614	Ground (Sirloin)						food_product:
		FOODON:03430136	Ground Boneless						food_product:
		FOODON:03430136	Ground extra lean						food_product:
		FOODON:03430136	Ground regular						food_product:
		FOODON:03430136	ground( extra lean)						food_product:
		FOODON:03430117	ground( medium)						food_product:
		FOODON:03430136	Ground(Extra lean)						food_product:
		FOODON:03430136	Ground(Lean)						food_product:
		FOODON:03430117	Ground(medium)						food_product:
		FOODON:03430136	ground(regular)						food_product:
		FOODON:03430136	Groundextra lean)						food_product:
		FOODON:03430136	Ground-Lean						food_product:
		FOODON:03430136	Ground-Regular						food_product:
