class_name	slot_group	slot_uri	title	name	range	range_2	identifier	required	recommended	multivalued	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GRDI
PHACDexa	Database Identifiers																	
	Database Identifiers		SPECIMEN_ID	specimen_id	WhitespaceMinimizedString													alternative_sample_ID
	Database Identifiers		ISOLATE_ID	isolate_id	WhitespaceMinimizedString			TRUE										isolate_ID
	Database Identifiers		SAMPLE_ID	sample_id	WhitespaceMinimizedString			TRUE										sample_collector_sample_ID
	Fields to put in sections																	
	Fields to put in sections		SENTINEL_SITE	sentinel_site	WhitespaceMinimizedString													
	Fields to put in sections		LFZ_ADDITIONAL_SAMPLE_ID	lfz_additional_sample_id	WhitespaceMinimizedString													
	Fields to put in sections		LFZ_ORIGIN_COUNTRY	lfz_origin_country	WhitespaceMinimizedString													
	Fields to put in sections		SUBJECT_CODE	subject_code	WhitespaceMinimizedString													
	Fields to put in sections		SUBJECT_DESCRIPTIONS	subject_descriptions	SubjectDescriptionsMenu													
	Fields to put in sections		SUBMITTINGORG_1	submittingorg_1	WhitespaceMinimizedString													sample_collected_by
	Fields to put in sections		SUBMITTINGLAB_1	submittinglab_1	WhitespaceMinimizedString													sample_collected_by_laboratory_name
	Fields to put in sections		PROJECT_1	project_1	WhitespaceMinimizedString													
	Fields to put in sections		COUNTRY_1	country_1	WhitespaceMinimizedString													geo_loc_name (country)
	Fields to put in sections		PROVINCE_1	province_1	WhitespaceMinimizedString													geo_loc_name (state/province/region)
	Fields to put in sections		CENSUSDIVISION_1	censusdivision_1	WhitespaceMinimizedString													
	Fields to put in sections		REGION	region	WhitespaceMinimizedString													
	Fields to put in sections		YEAR	year	WhitespaceMinimizedString													
	Fields to put in sections		MONTH	month	WhitespaceMinimizedString													
	Fields to put in sections		QTR	qtr	WhitespaceMinimizedString													
	Fields to put in sections		DATECOLLECTED_1	datecollected_1	date													sample_collection_date
	Fields to put in sections		DATERECEIVED_1	datereceived_1	WhitespaceMinimizedString													sample_received_date
	Fields to put in sections		DATESHIPPED_1	dateshipped_1	WhitespaceMinimizedString													
	Fields to put in sections		ESTABLISHMENT_1	establishment_1	WhitespaceMinimizedString													
	Fields to put in sections		SPECIES	species	SpeciesMenu													host (common name):
	Fields to put in sections		STTYPE	sttype	STTypeMenu													
	Fields to put in sections		STYPE	stype	STypeMenu													
	Fields to put in sections		COMMODITY	commodity	CommodityMenu													
	Fields to put in sections		SPECIMENSOURCE_1	specimensource_1	SpecimenSource1Menu													
	Fields to put in sections		SPECIMENSUBSOURCE_1	specimensubsource_1	SpecimenSubsource1Menu													
