name	title	text	menu_1	menu_2	menu_3	menu_4	menu_5	meaning	description
TrueFalseMenu	True/False Menu								
		TRUE	TRUE						
		FALSE	FALSE						
									
LanguagesMenu	Languages Menu								
		ab	Abkhazian (ab)						
		aa	Afar (aa)						
		af	Afrikaans (af)						
		ak	Akan (ak)						
		sq	Albanian (sq)						
		am	Amharic (am)						
		ar	Arabic (ar)						
		an	Aragonese (an)						
		hy	Armenian (hy)						
		as	Assamese (as)						
		av	Avaric (av)						
		ae	Avestan (ae)						
		ay	Aymara (ay)						
		az	Azerbaijani (az)						
		bm	Bambara (bm)						
		ba	Bashkir (ba)						
		eu	Basque (eu)						
		be	Belarusian (be)						
		bn	Bengali (bn)						
		bi	Bislama (bi)						
		bs	Bosnian (bs)						
		br	Breton (br)						
		bg	Bulgarian (bg)						
		my	Burmese (my)						
		ca	Catalan, Valencian (ca)						
		ch	Chamorro (ch)						
		ce	Chechen (ce)						
		ny	Chichewa, Chewa, Nyanja (ny)						
		zh	Chinese (zh)						
		cv	Chuvash (cv)						
		kw	Cornish (kw)						
		co	Corsican (co)						
		cr	Cree (cr)						
		hr	Croatian (hr)						
		cs	Czech (cs)						
		da	Danish (da)						
		dv	Divehi, Dhivehi, Maldivian (dv)						
		nl	Dutch, Flemish (nl)						
		dz	Dzongkha (dz)						
		en	English (en)						
		eo	Esperanto (eo)						
		et	Estonian (et)						
		ee	Ewe (ee)						
		fo	Faroese (fo)						
		fj	Fijian (fj)						
		fi	Finnish (fi)						
		fr	French (fr)						
		fy	Western Frisian (fy)						
		ff	Fulah (ff)						
		gd	Gaelic, Scottish Gaelic (gd)						
		gl	Galician (gl)						
		lg	Ganda (lg)						
		ka	Georgian (ka)						
		de	German (de)						
		el	Greek, Modern (1453–) (el)						
		kl	Kalaallisut, Greenlandic (kl)						
		gn	Guarani (gn)						
		gu	Gujarati (gu)						
		ht	Haitian, Haitian Creole (ht)						
		ha	Hausa (ha)						
		he	Hebrew (he)						
		hz	Herero (hz)						
		hi	Hindi (hi)						
		ho	Hiri Motu (ho)						
		hu	Hungarian (hu)						
		is	Icelandic (is)						
		io	Ido (io)						
		ig	Igbo (ig)						
		id	Indonesian (id)						
		iu	Inuktitut (iu)						
		ik	Inupiaq (ik)						
		ga	Irish (ga)						
		it	Italian (it)						
		ja	Japanese (ja)						
		jv	Javanese (jv)						
		kn	Kannada (kn)						
		kr	Kanuri (kr)						
		ks	Kashmiri (ks)						
		kk	Kazakh (kk)						
		km	Central Khmer (km)						
		ki	Kikuyu, Gikuyu (ki)						
		rw	Kinyarwanda (rw)						
		ky	Kyrgyz, Kirghiz (ky)						
		kv	Komi (kv)						
		kg	Kongo (kg)						
		ko	Korean (ko)						
