class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GISAID	EXPORT_NCBI_BIOSAMPLE_SARS-COV-2_WWS	EXPORT_NCBI_SRAGenomeTrakr	EXPORT_NCBI_SRA	EXPORT_VirusSeq_Portal
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic		GENEPIO:0001122	Database Identifiers																			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0001123	specimen collector sample ID	specimen_collector_sample_id	WhitespaceMinimizedString		TRUE		TRUE						The user-defined name for the sample.	Store the collector sample ID. If this number is considered identifiable information, provide an alternative ID. Be sure to store the key that maps between the original and alternative IDs for traceability and follow up if necessary. Every collector sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab.	ASDFG123		sample_name	sample_name	sample_name	
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100752	specimen collector subsample ID	specimen_collector_subsample_id	WhitespaceMinimizedString										The user-defined identifier assigned to a portion of the original sample.	Store the ID for the subsample/aliquot. 	ASDFG123_12		specimen_processing_id			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100996	pooled sample ID	pooled_sample_id	WhitespaceMinimizedString										The user-defined identifier assigned to a combined (pooled) set of samples.	If the sample being analyzed is the result of pooling individual samples, rename the pooled sample with a new identifier. Store the pooled sample ID.	12345AYZ					
WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100753	metagenome-assembled genome (MAG) ID	metagenomeassembled_genome_mag_id	WhitespaceMinimizedString										The user-defined identifier assigned to a genome reconstructed from metagenomic data.	Store the MAG ID.	XYZ1234.1					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100918	specimen collector project ID	specimen_collector_project_id	WhitespaceMinimizedString										The user-defined project name assigned to a sequencing project.	If the sample was collected or analyzed under the umbrella of a specific project, include the name of that project here.			project_name			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0001136	BioProject accession	bioproject_accession	WhitespaceMinimizedString									{UPPER_CASE}	The INSDC (i.e., ENA, NCBI, or DDBJ) accession number of the BioProject(s) to which the BioSample belongs.	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project.	PRJNA608651		bioproject_accession			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0001139	BioSample accession	biosample_accession	WhitespaceMinimizedString					TRUE				{UPPER_CASE}	The identifier assigned to a BioSample in INSDC (i.e., ENA, NCBI, or DDBJ) archives.	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN, ENA have the prefix SAMEA, DDBJ have SAMD	SAMN14180202, SAMEA00000002, SAMD00000001					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0101203	INSDC sequence read accession	insdc_sequence_read_accession	WhitespaceMinimizedString									{UPPER_CASE}	The identifier assigned to a sequence in one of the International Nucleotide Sequence Database Collaboration (INSDC) repositories.	Store the accession assigned to the submitted sequence. European Nucleotide Archive (ENA) sequence accessions start with ERR, NCBI-SRA accessions start with SRR,  DNA Data Bank of Japan (DDBJ) accessions start with DRR and Genome Sequence Archive (GSA) accessions start with CRR.	ERR123456, DRR123456, CRR123456					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100759	Enterobase accession	enterobase_accession	WhitespaceMinimizedString									{UPPER_CASE}	The identifier assigned to a sequence in Enterobase archives.	Store the barcode assigned to the submitted sequence. Enterobase barcodes start with different 3 letter codes depending on the organism.	SAL_AA0019AA_ST					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0101204	INSDC assembly accession	insdc_assembly_accession	WhitespaceMinimizedString									{UPPER_CASE}	The versioned identifier assigned to an assembly or consensus sequence in  one of the International Nucleotide Sequence Database Collaboration (INSDC) repositories.	Store the versioned accession assigned to the submitted sequence e.g. the GenBank accession version.	LZ986655.1					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0001147	GISAID accession	gisaid_accession	WhitespaceMinimizedString									{UPPER_CASE}	The identifier assigned to a sequence in GISAID (the Global Initiative on Sharing All Influenza Data) archives.	Store the accession assigned to the submitted sequence. GISAID accessions start with EPI.	EPI_ISL_402131					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100282	GISAID virus name	gisaid_virus_name	WhitespaceMinimizedString										The user-defined GISAID virus name assigned to the sequence.	GISAID virus names should be in the format "hCoV-19/Country/Identifier/year".	hCoV-19/Canada/prov_rona_99/2020					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100760	sampling site ID	sampling_site_id	WhitespaceMinimizedString					TRUE					The user-defined identifier assigned to a specific location from which samples are taken.	Store the ID for the site from which a sample was taken. The "site" is user defined (e.g. it may be a building and its environs, a specific entity within an environment). Please use the same site ID for all samples from a given site, regardless of when these samples were taken. Any important changes in site location, should be represented with a new site ID.	Site 12A		collection_site_id			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Database identifiers	GENEPIO:0100761	sampling event ID	sampling_event_id	WhitespaceMinimizedString					TRUE					The user-defined identifier assigned to a specific event during which one or more samples are taken, from one or more sites.	Store the ID for the event during which a sample or samples were taken. For example, an event could be one person taking samples from multiple sites, or multiple people taking samples from one site.	Event 120522.1					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic		GENEPIO:0001150	Sample collection and processing																			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100762	sample collection data steward name	sample_collection_data_steward_name	WhitespaceMinimizedString										The name of the individual responsible for the data governance, (meta)data usage and distribution of the sample.	Provide the name of the sample collection data steward.	Joe Bloggs					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100428	sample collected by laboratory name	sample_collected_by_laboratory_name	WhitespaceMinimizedString										The specific laboratory affiliation of the sample collector.	Provide the name of the specific laboratory that collected the sample (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Topp Lab					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001153	sample collected by	sample_collected_by	WhitespaceMinimizedString	NullValueMenu			TRUE						The name of the organization with which the sample collector is affiliated.	The name of the agency should be written out in full, (with minor exceptions) and be consistent across multiple submissions.	Public Health Agency of Canada		collected_by			
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100432	sample collector contact name	sample_collector_contact_name	WhitespaceMinimizedString										The name or job title of the contact responsible for follow-up regarding the sample.	Provide the name of an individual or their job title. As personnel turnover may render the contact's name obsolete, it is more preferable to provide a job title for ensuring accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	Joe Bloggs, Enterics Lab Manager					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001156	sample collector contact email	sample_collector_contact_email	WhitespaceMinimizedString								^\S+@\S+\.\S+$		The email address of the contact responsible for follow-up regarding the sample.	The email address can represent a specific individual or lab e.g. johnnyblogs@lab.ca, or RespLab@lab.ca	WaterTester@facility.ca					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001181	geo loc name (country)	geo_loc_name_country	GeoLocNameCountryMenu	NullValueMenu			TRUE						The country of origin of the sample.	If known, select a value from the pick list.	Canada					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0001185	geo loc name (state/province/territory)	geo_loc_name_state_province_territory	WhitespaceMinimizedString	NullValueMenu			TRUE						The state/province/territory of origin of the sample.	Provide the state/province/territory name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/ga	Western Cape					
WastewaterSARS-CoV-2;WastewaterAMR;WastewaterPathogenAgnostic	Sample collection and processing	GENEPIO:0100280	geo loc name (county/region)	geo_loc_name_county_region	WhitespaceMinimizedString										The county/region of origin of the sample.	Provide the county/region name from the GAZ geography ontology. Search for geography terms here: https://www.ebi.ac.uk/ols/ontologies/gaz	Derbyshire					
